"","T1_Rep1_Plate1","T1_Rep1_Plate2","T1_Rep1_Plate3","T1_Rep1_Plate4","T1_Rep1_Plate5","T1_Rep1_Plate6","T2_Rep1_Plate1","T2_Rep1_Plate2","T2_Rep1_Plate3","T2_Rep1_Plate4","T2_Rep1_Plate5","T2_Rep1_Plate6","T1_Rep2_Plate1","T1_Rep2_Plate2","T1_Rep2_Plate3","T1_Rep2_Plate4","T1_Rep2_Plate5","T1_Rep2_Plate6","T1_Rep3_Plate1","T1_Rep3_Plate2","T1_Rep3_Plate3","T1_Rep3_Plate4","T1_Rep3_Plate5","T1_Rep3_Plate6","T2_Rep2_Plate1","T2_Rep2_Plate2","T2_Rep2_Plate3","T2_Rep2_Plate4","T2_Rep2_Plate5","T2_Rep2_Plate6","T2_Rep3_Plate1","T2_Rep3_Plate2","T2_Rep3_Plate3","T2_Rep3_Plate4","T2_Rep3_Plate5","T2_Rep3_Plate6"
"-10",1.8,1.3,1.6,1.4,1.7,1.9,2.1,1.8,2.4,1.2,1.5,1.2,0.9,1.1,0,0,1,1.2,1.4,1.2,0.8,1.2,1.2,1,0,0.8,1.2,1.6,0.5,0.5,0,0.5,1,0.8,0.9,0
"-9",1.1,0.7,1,0.9,1.6,1,0.7,1.1,1.1,0.4,1,1.7,2.7,2.9,1,1,3.2,2,3.1,3,2.2,2.4,2.8,3.1,0.3,0.6,0.1,2.2,0.8,0.6,0,0.1,1,0.8,0.5,0.7
"-8",0,0,0,0.5,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,2.8,0.9,0,0.8,0,0,0,0,0,0
"-7",5.6,10.2,7.2,2.7,6,4.8,7.4,5.8,6.3,10.9,3.9,9.1,13.1,10.8,13.9,12.5,11.8,15,11.8,11.4,12.5,12.7,11.3,10.7,0,2.2,0.3,4.8,9.8,0.8,11.1,11.2,11.3,13,15.6,11.5
"-6",0.8,0.1,1.7,1.5,0.7,1.2,0,0.4,1.4,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.9,0.4,0,0.3,0,0,0.3,0.1,0,0
"-5",1.4,0.6,1,0.5,1,0.6,1.1,0.8,0.5,0.5,1.2,1.1,0.4,0.3,0,0,0.7,0.6,0.3,0.6,0.7,0.2,0.1,0.3,0.1,0.8,0.8,1.2,0,0.2,0,0,1.1,1.2,1,0
"-4",1.3,1.3,1.2,0.6,0.8,1,0,1.4,0.6,0.5,1.3,0.8,1.5,0.8,0,0,1.1,1.1,0.6,0.7,1.1,1.3,1.1,0.9,0,1,0,1.2,0,0.3,0.3,0,0.9,1.2,0.5,0.1
"-3",0.3,0,0.2,1.1,0.4,0.8,0.8,1.4,1.2,0.1,1.9,0.5,1.1,1.3,0.5,0,0.8,0.7,1.4,0.8,0.7,1.5,1.1,1.3,1.4,0.4,0,0.4,0,0.5,0,0,0.4,1,0.7,0
"-2",1.1,0.6,1.4,1.6,2,1.4,2.4,2.1,2.2,1.8,2.2,3.5,0.8,0.6,0,0,0.8,0.9,0.7,0.8,1.1,1.5,0.7,0.6,0,1,0,1.1,0.7,0.5,0.5,0.4,2.2,2.4,2.3,0
"-1",0.5,0,0,1.9,1.9,0.8,0,0.9,1.6,0,0.3,1,0.4,0,0,0,0.1,0,0,0,0.2,0,0,0,0,1,4.7,1.8,0,0.8,0,0,1.2,0.6,0.6,0
"0",12.4,13.8,11.1,6.9,10.9,7.1,27.3,17.2,14.8,34.1,11.7,21.7,10,14.2,9.4,10.5,10.2,11.6,10.8,12.8,15.8,10.8,12.4,10.4,0,3.7,7.9,6.5,25.1,1.7,25.4,24.8,16.5,26.3,26.1,24.8
"1",14.6,26.5,19.6,8.7,13.8,11.2,16.7,15.5,13.5,27.7,9.2,25,43.1,34.2,62.7,64.1,38,48.3,36.7,37.7,41.2,41.9,35.5,33.9,28.7,4.1,1.6,8.9,45.7,1.5,45.9,45.3,24.8,39.5,42.4,44.8
"2",2.7,2.9,5.5,2.5,1.3,2.5,0,0.9,0.4,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0.5,1.2,0,0.2,0,0,1.9,0,0.7,0
"3",1.7,2,0.6,0,1.2,0.4,0,0.7,0,0,0,0,1,0.9,0,0,0.9,0.5,0.7,0.7,0.8,0.7,1.1,0.9,0,0.5,0.5,0.5,0,0.1,0,0,0.6,0.2,0.5,0
"4",0.6,1.2,0.1,0,0.3,0.1,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.3,0,0,0.2,0,0,0
"5",0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0.1,0.5,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0.4,0,0,0,0,0,0
"6",0,0,0,0,0,0,0.1,0,0,0.2,0.5,0.9,0,0.3,0,0,0.2,0,0.3,0.3,0,0.1,0.6,0.4,0,0.4,0,0,0,0.1,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0.4,0.1,0,0.9,0.8,0,0,0.8,0.3,1.1,1,0.8,0.7,0.9,1.1,0.5,0.4,0.1,0,0,0.1,0,0.1,0,0,0,0
"8",0,0,0,0.3,0,0,0,0,0.2,0,0.4,0,1.4,1.3,0.2,0,1,1.1,1.2,1,1.2,1.8,1.3,1.3,0,0.7,0.6,0.1,0,0.7,0,0.7,0.1,0.2,0.1,0.3
