"","experiment","cell_line","gRNA","replicate","-7","0","1","editing_freq","TIF","balance"
"1","E2189","DEF","LBR2","R1",11.9,5.4,69.1,0.841,94.6,-2.53772413708031
"2","E2189","PRO","LBR2","R1",29,0,63.3,0.965,100,-1.12615259941341
"3","E2193","K562","LBR2","R1",6.6,55.7,31.6,0.403,44.3,-2.25938662881865
"4","E2193","K562","LBR2","R2",6.8,55.2,31.3,0.403,44.8,-2.20255600568228
"5","E2193","K562","LBR2","R3",5.4,63,26.2,0.339,37,-2.27853549937398
"6","E2193","K562","LBR2","R4",7.5,55.1,31,0.409,44.9,-2.04730571477836
"7","E2193","K562","LBR2","R5",6,55.3,27,0.381,44.7,-2.16992500144231
"8","E2193","K562","LBR2","R6",4.4,69,21.1,0.277,31,-2.26166757006989
"9","E2274","DEF","LBR2","R5",14.8,0,78.7,0.94,100,-2.41076645987854
"10","E2274","DEF","LBR2","R6",13.3,0,76,0.903,100,-2.51457317282976
"11","E2274","PRO","LBR2","R2",26.9,0,65.8,0.968,100,-1.29048141117862
"12","E2274","RPE1","LBR2","R1",31.2,0,60.8,0.957,100,-0.962525294581337
"13","E2274","RPE1","LBR2","R2",26.4,1.5,51.6,0.891,98.5,-0.966833136064801
"14","E2283","DEF","LBR2","R2",13.7,0,77.8,0.926,100,-2.50559426202567
"15","E2283","DEF","LBR2","R3",10.4,5.5,64.7,0.854,94.5,-2.63718218385142
"16","E2283","DEF","LBR2","R4",11,1.8,79.1,0.913,98.2,-2.84617417094813
"17","E2283","DEF","LBR2","R7",12.7,0,79.4,0.938,100,-2.64431051037079
"18","E2283","PRO","LBR2","R3",26.3,0,65,0.916,100,-1.30537691862351
"19","E2283","PRO","LBR2","R4",24.4,0,65.7,0.916,100,-1.42901222275944
"20","E2283","PRO","LBR2","R5",26.3,0,65,0.92,100,-1.30537691862351
"21","E2283","RPE1","LBR2","R3",14.4,0,79.2,0.942,100,-2.4594316186373
"22","E2283","RPE1","LBR2","R4",22,1.9,55.5,0.87,98.1,-1.33498424771281
"23","E2283","RPE1","LBR2","R5",23.4,2,52.5,0.846,98,-1.16580889297008
"24","E2283","RPE1","LBR2","R6",22.3,1.7,55.6,0.895,98.3,-1.3180411728032
