,LBR_PLATE1_R1,LBR_PLATE2_R1,LBR_PLATE3_R1,LBR_PLATE4_R1,LBR_PLATE5_R1,LBR_PLATE6_R1,LBR_PLATE1_R2,LBR_PLATE2_R2,LBR_PLATE3_R2,LBR_PLATE4_R2,LBR_PLATE5_R2,LBR_PLATE6_R2,LBR_PLATE1_R3,LBR_PLATE2_R3,LBR_PLATE3_R3,LBR_PLATE4_R3,LBR_PLATE5_R3,LBR_PLATE6_R3
-10,0.3,0.5,0.6,0.7,0.7,0.1,0,0.6,0.9,0.4,0.7,,0.4,0.1,0.6,0.8,0.7,0.8
-9,0,0,0.2,0.2,0,0,0,0,0,0,0.1,,0,0,0,0,0,0.2
-8,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
-7,13.4,16.5,17.7,19.2,17,11.7,0,13.1,18.3,19.1,20.2,,12,15.8,18.6,18.9,19.8,18.9
-6,0,0,0,0,0.1,0,0,0,0,0,0,,0,0,0,0,0,0
-5,0.2,0,0.7,0.5,0.5,0.4,0,0.1,0.4,0.5,0.6,,0.5,0.9,0.3,0.3,0.8,0.4
-4,0,0,0,0.2,0,0,0,0,0.1,0.6,0,,0,0.7,0.3,0.3,0.5,0.5
-3,0,0,0.5,0.1,0,0,0,0,0.4,0.1,0.5,,0,0,0,0,0,0
-2,0.3,0,1,1.6,1.2,0,0,0.4,0.7,0.8,1.3,,0,0.3,0.6,0.6,1.5,1.3
-1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
0,49.4,37.1,36.3,30.3,38.3,56.6,91.6,48.4,34.2,32,28.8,,55.5,42.5,34.5,34.7,26.6,29.6
1,32.7,39.9,39.6,44.4,39.2,27.6,2.8,33.4,42.8,43.5,44.4,,27.7,36.3,41.8,40.7,45.5,43.5
2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
3,0,0.1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
6,0,0,0,0,0,0,0.2,0,0,0,0,,0,0,0,0,0,0
7,0,0.3,0.2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cutting efficiency,50.6,62.9,63.7,69.7,61.7,43.4,8.4,51.6,65.8,68,71.2,,44.5,57.5,65.5,65.3,73.4,70.4
MMEJ ratio,2.440298507,2.418181818,2.237288136,2.3125,2.305882353,2.358974359,#DIV/0!,2.549618321,2.338797814,2.277486911,2.198019802,,2.308333333,2.297468354,2.247311828,2.153439153,2.297979798,2.301587302
