,LBR_PLATE2_R1,LBR_PLATE3_R1,LBR_PLATE4_R1,LBR_PLATE5_R1,LBR_PLATE6_R1,LBR_PLATE1_R2,LBR_PLATE2_R2,LBR_PLATE3_R2,LBR_PLATE4_R2,LBR_PLATE5_R2,LBR_PLATE6_R2,LBR_PLATE1_R3,LBR_PLATE2_R3,LBR_PLATE4_R3,LBR_PLATE5_R3,LBR_PLATE6_R3
-10,0.6,0.3,0.4,1.8,0.5,0.5,0.6,0.3,1.1,1,0.8,0,0,0.5,0.5,0.3
-9,0,0.1,0,0,0.3,0.6,0,0,0,0,0,0,0.7,0.8,0,0
-8,0,0,0,0,0,0.8,0,0,0.2,0,0,0,0,0,0,0
-7,8.6,0,8.7,4.6,0,0,5.3,0,7.1,7.6,8.3,0,0,0.2,10.3,9.4
-6,0.2,0,0.5,1.4,8.7,0,1.8,0,0.7,0.6,0.1,0,0,7.9,0.4,0.4
-5,0.3,8.4,0.6,2.2,0.1,7.5,0.3,0,0.2,0.4,0.5,0,7.3,0,0.6,0.4
-4,0,0.3,0,2.5,0.2,1.1,0,0,0,0,0,0,1.3,0.1,0,0
-3,0,0.3,0.2,8.1,0,0.5,0,0,0,1.8,0,0,0.8,0.8,0,0
-2,0.5,0,0.5,2.7,0,0.8,0.5,0,1.4,1.5,0.4,0,0,2.1,0.7,0.2
-1,0,0,0,0.2,0,0.6,3,0,6.9,3.2,0,0,0,1.7,0,0
0,50.5,0,48.4,46.8,0,2.6,51,92.3,35.9,30.5,50.7,88.1,0.4,3.6,43.9,49.7
1,34.1,0,34,19.7,52.1,2.7,23.1,2.2,24.7,25.6,34.8,6.5,2.2,31.1,36.7,34.7
2,0,56.2,0,0,28.5,30.1,0,0,0,0,0,0,44.3,23.8,0,0
3,0.1,28.9,0.1,0,0,23.3,0.6,0,0.1,0.3,0,0,27.9,0,0,0
4,0,0,0,0,1,0,0.4,0,0.3,0,0,0,0,0,0.1,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0
6,0,0,0,0,0,0,0,0.2,0,0,0,0,0.7,0,0,0
7,0,0,0,0,0.1,0,0.1,0,0.1,1,0,0,0,0,0.1,0
8,0,0,0,0,0.4,0.5,0.8,0,0.7,0.6,0,0,0,1,0,0
9,0,0.1,0,0,0,0.7,0,0,0,0,0,0,0.1,0.1,0,0
10,0,0,0,0,0,0.1,0,0,0,0,0,0,0.8,0,0,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Eurofins ,,,,,,,,,,,,,,,,
Cutting eff,49.5,43.8,51.6,53.2,47.9,69.9,49,7.7,64.1,69.5,49.3,11.9,55.7,68.9,56.1,50.3
MMEJ ratio,3.965116279,3.44047619,3.908045977,4.282608696,3.275862069,3.106666667,4.358490566,#DIV/0!,3.478873239,3.368421053,4.192771084,#DIV/0!,3.821917808,3.012658228,3.563106796,3.691489362
