"","LBR_PLATE1_R1","LBR_PLATE2_R1","LBR_PLATE3_R1","LBR_PLATE4_R1","LBR_PLATE5_R1","LBR_PLATE6_R2","LBR_PLATE1_R2","LBR_PLATE2_R2","LBR_PLATE3_R2","LBR_PLATE4_R2","LBR_PLATE5_R2","LBR_PLATE6_R2","LBR_PLATE1_R3","LBR_PLATE2_R3","LBR_PLATE3_R3","LBR_PLATE4_R3","LBR_PLATE5_R3","LBR_PLATE6_R3"
"-10",0.3,0.3,0,0.5,0.3,0.4,0.6,0,0,0.3,0,0,0.2,0,0,0,0,0
"-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-7",6,0.8,1,1.1,7.1,0,0.9,4.3,0.9,0,1.1,0,1.3,0.8,0.5,0,0,1.5
"-6",0.5,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"-5",0.8,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0.7,0,0.2,0.1,0
"-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,0,0,0
"-3",0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0",71,74.1,69.1,73.2,66.4,91.4,78.1,78,72.1,79.4,78.6,87.9,81,71.4,77.9,94.7,85.5,74
"1",16.8,17.7,22.5,18.3,19.9,1.5,12.8,11.1,19,12.7,12.8,5.9,10.1,19.4,14.6,0,8.4,16.8
"2",0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0.7,0,0.3,0.1,0.4,0.1,0.5,0,0,0.2,0.5,0,0
"7",0.6,0,0,0,0.5,0.2,0,0.7,0,0,0,0.1,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
