,LBR_PLATE1_R1,LBR_PLATE2_R1,LBR_PLATE3_R1,LBR_PLATE4_R1,LBR_PLATE5_R1,LBR_PLATE6_R1,LBR_PLATE1_R2,LBR_PLATE2_R2,LBR_PLATE3_R2,LBR_PLATE4_R2,LBR_PLATE5_R2,LBR_PLATE6_R2,LBR_PLATE1_R3,LBR_PLATE2_R3,LBR_PLATE3_R3,LBR_PLATE4_R3,LBR_PLATE5_R3,LBR_PLATE6_R3
-10,0.3,0.3,0,0.5,0.3,0.4,0.6,0,0,0.3,0,0,0.2,0,0,0,0,0
-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7,6,0.8,1,1.1,7.1,0,0.9,4.3,0.9,0,1.1,0,1.3,0.8,0.5,0,0,1.5
-6,0.5,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,0.8,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0.7,0,0.2,0.1,0
-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,0,0,0
-3,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,71,74.1,69.1,73.2,66.4,91.4,78.1,78,72.1,79.4,78.6,87.9,81,71.4,77.9,94.7,85.5,74
1,16.8,17.7,22.5,18.3,19.9,1.5,12.8,11.1,19,12.7,12.8,5.9,10.1,19.4,14.6,0,8.4,16.8
2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0.7,0,0.3,0.1,0.4,0.1,0.5,0,0,0.2,0.5,0,0
7,0.6,0,0,0,0.5,0.2,0,0.7,0,0,0,0.1,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,
Cutt eff,29,25.9,30.9,26.8,33.6,8.6,21.9,22,27.9,20.6,21.4,12.1,19,28.6,22.1,5.3,14.5,26
MMEJ ratio,2.8,22.125,22.5,16.63636364,2.802816901,#DIV/0!,14.22222222,2.581395349,21.11111111,#DIV/0!,11.63636364,#DIV/0!,7.769230769,24.25,29.2,#DIV/0!,#DIV/0!,11.2
