,LBR_PLATE1_R1_T2,LBR_PLATE2_R1_T2,LBR_PLATE3_R1_T2,LBR_PLATE4_R1_T2,LBR_PLATE5_R1_T2,LBR_PLATE6_R1_T2
-10,0,0.3,0,0.5,0.6,0.4
-9,0,0,0,0,0,0
-8,1,0,0,0,0,0
-7,0,0,0,1.6,1.2,0
-6,0,0,0.3,0.4,0,0
-5,1.5,0,0.1,0,0,0
-4,0,0,0,0,0,0
-3,0,0,0,0,0,0
-2,0,0,0,0,0,0
-1,0,0,0,0,0,0
0,0,0,82.2,77.3,82.6,0
1,0,89.3,5.2,10.2,6.3,90.5
2,74,0.3,0,0,0,0
3,12.5,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,1.1,0.2,0.5,0
7,0,0.8,0.3,0.7,0.3,0.5
8,0.1,0.7,0,0,0,0.8
9,0.4,0,1.4,0,0.1,0
10,0.4,0.9,0,0,0,0.3
,,,,,,
,,,,,,
,,,,,,
Cutting eff,26,10.7,17.8,22.7,17.4,9.5
