"","T1_Rep1_Plate1","T1_Rep1_Plate2","T1_Rep1_Plate3","T1_Rep1_Plate4","T1_Rep1_Plate5","T1_Rep1_Plate6","T1_Rep2_Plate1","T1_Rep2_Plate2","T1_Rep2_Plate3","T1_Rep2_Plate4","T1_Rep2_Plate5","T1_Rep2_Plate6","T1_Rep3_Plate1","T1_Rep3_Plate2","T1_Rep3_Plate3","T1_Rep3_Plate4","T1_Rep3_Plate5","T1_Rep3_Plate6"
"-10",1.6,1.1,0.2,0.4,1.3,0.7,0.5,0.8,1,0.5,0.6,1.2,0.4,1.6,1.2,1.3,1.1,1.6
"-9",0.2,0,0,0.1,0,0.6,0,0.1,0.6,0,0.1,0,0.5,0.6,0.1,0.3,0,0.2
"-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-7",15,14.1,13.6,12.3,7.9,14.8,8.1,14.9,7.5,12.1,11.7,9.3,10.7,13.6,4.9,9.5,14.2,7.1
"-6",1,0.5,1.5,0.7,0.2,1.1,0.9,0,1.4,1.2,0,1,1.2,0.7,2.8,1.4,1.3,2
"-5",0.9,0.8,1.7,1.4,1,1.2,2.1,1.2,0.8,1.7,1.4,0.6,1.1,1.6,1.9,1.1,0.2,0.9
"-4",0.3,1.6,0.6,1.2,0.5,0.9,3,0.5,0.5,0.7,0.9,1.1,1.1,0.6,1.3,1.1,1.2,1.6
"-3",0.3,0.1,0,0.5,0,0.4,0.3,0.2,2.2,0.3,0.4,1.2,0.5,0.1,2.1,0.8,0.4,1.8
"-2",0.5,0.2,0.7,0.7,0,1,0.8,0.4,3.3,0.3,0.5,2.5,0.9,0.7,2.3,1.7,1,2.3
"-1",0,0,0,0,0,0,0,0,0.8,0,0,0.8,0,0,2.3,1.1,0,0.6
"0",23.2,17.1,20.7,15.7,44.1,17.8,14.7,20.6,13.6,20.2,21.3,15.6,22.2,17.2,12,19.4,20.1,10.3
"1",33.8,29.9,33,29,18.2,34,19.9,33.4,17.7,29.8,28.6,21.2,26.8,30.9,11.4,24.3,33,16.1
"2",0.3,1.8,4,3.5,2.5,2.3,5.3,2.5,2.1,4.1,2.1,3.3,3.3,2.2,0.8,1.9,2.9,1
"3",0,2.5,1.8,3.7,3.8,0.5,3.9,3,1.3,1.8,3.7,1.8,2.7,2.4,0,0.1,0,0
"4",0,2.6,0.1,1.7,1.2,0.5,0.6,0.7,0,0.5,1.6,0.2,0.9,1.1,0.1,0.3,0,0.6
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0.9,0,0,0,0.1,0,0,0,0.1,0,0,0.9,0,0,0.3,0.9,0,0.1
"8",0.3,0,0,0,0,0.2,0,0,0,0,0,0.1,0.1,0,1.1,0.2,0.5,1.2
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
