"","T2_Rep1_POLQ_Plate1","T2_Rep1_POLQ_Plate2","T2_Rep1_POLQ_Plate3","T2_Rep1_POLQ_Plate4","T2_Rep1_POLQ_Plate5","T2_Rep1_POLQ_Plate6","T2_Rep1_Plate1","T2_Rep1_Plate2","T2_Rep1_Plate3","T2_Rep1_Plate4","T2_Rep1_Plate5","T2_Rep1_Plate6","T2_Rep2_Plate1","T2_Rep2_Plate2","T2_Rep2_Plate3","T2_Rep2_Plate4","T2_Rep2_Plate5","T2_Rep2_Plate6","T2_Rep3_Plate1","T2_Rep3_Plate2","T2_Rep3_Plate3","T2_Rep3_Plate4","T2_Rep3_Plate5"
"-10",0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.7,1.5,1.4,1.1,1.5,1.1,2,1.5,1.6,0.8
"-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0
"-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-7",0,0,0,0,0,0,1,0.9,0.1,0,0,1.5,12.4,10.1,9.8,13.1,6.7,14.9,4.7,6.6,9.7,9.3,8.2
"-6",0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.4,1.5,0,0.7,0,0.9,1.5,1.4,1.1,1.8
"-5",0,0,0,0,0,0,0,0,0,0.4,0.1,0,0.9,0.9,0,0.3,0.8,0.4,0.5,1.3,0,0,0.4
"-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.4,0.3,1.8,1.2,0,0,0
"-3",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,1.3,0,3.3,1.1,4,2.1,1.4,0.5,0
"-2",0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.7,2.9,2,2.9,1.4,4.1,1.6,3.2,3.3,2.9
"-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2.7,0,0.3,0,2.1,0.5,0,3,1
"0",76.3,82.2,77.7,80.4,77,74.3,70.8,74.8,81.5,74.7,78.5,70.4,39.6,28.3,24.7,37.9,20,30.8,15.5,17.8,28.5,28.7,27.8
"1",7.3,9.8,5.6,8.3,6,6.5,8.7,9.2,8.9,12.8,11.1,10.1,25.2,26.4,22.6,31.4,16,36.3,12.3,15.1,23.5,19.7,21.3
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0.2,0,0.2,0.9,1.3,0,1.5
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0.4,0.1,0.3,0.4,0.2,0,0,0,0.9,0.7,0,0,0,0,0,0.2,0,0,0,0,0,0
"7",1,0,1.1,0.6,1.2,1.5,1,0.3,0.4,0.2,0.3,0.8,0.2,0.5,0.7,0.7,0.7,0.5,0.9,0.2,0.5,0.9,0.7
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7,0,0.6,0,0.7,1.3,0.6,0.5,1.2
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
