,T1_Rep1_Plate1,T1_Rep1_Plate2,T1_Rep1_Plate3,T1_Rep1_Plate4,T1_Rep1_Plate5,T1_Rep1_Plate6,T1_Rep2_Plate1,T1_Rep2_Plate2,T1_Rep2_Plate3,T1_Rep2_Plate4,T1_Rep2_Plate5,T1_Rep2_Plate6,T1_Rep3_Plate1,T1_Rep3_Plate2,T1_Rep3_Plate3,T1_Rep3_Plate4,T1_Rep3_Plate5,T1_Rep3_Plate6
-10,0,1.1,1.5,1.1,1,1,0.2,0.6,1.2,0.9,1.1,0.4,0.4,1.6,0,1.8,0.5,0
-9,0.2,1.1,0.1,1.5,1.2,1.1,0.9,0.6,1.3,0.8,0.7,0.9,1.6,1.7,0.8,0.4,0.5,0.7
-8,0.9,1,4.3,0.4,0,1.4,0,0,0,0,0,0,0,0,0,4,0,0
-7,0,4.9,0.5,8.6,10.3,2.1,10.8,11.2,12.2,13.8,16.7,12.1,15.3,15.3,13,2,11.2,5
-6,0,1.7,1.1,0.9,0,0.8,0,0,0.6,0.5,0,0,0,0.2,0,1.6,0,3.8
-5,0,1.6,0.9,1.5,0.3,0.5,0.1,0.4,1.7,1.2,0.9,0,0.4,0.6,0,0.9,0.3,0.1
-4,0.7,1.3,0,0.8,0,0.7,0.8,0,0.7,1.4,0.8,0.1,0,1.2,0.6,1.6,0.8,0
-3,0.4,1.5,0,0.3,0,1.3,0,0,0.5,1.1,1,0,0,1.2,0,2.6,0,0
-2,0,2,0,1.1,0.8,0.6,1,0.7,1.9,2.4,2.4,0.4,0.7,2.1,0,1.4,1.2,0.7
-1,0.5,1.7,6.4,2.2,0,1.4,0,0,0.7,0.5,0.6,0,0,1.4,0,5.7,0,0
0,0,9.1,10.7,12,25.2,3.5,24.8,24.2,16.1,25.9,25.9,25.5,18.6,22.4,20.5,8.1,23.3,5.3
1,18.1,11,1.3,16.9,45.7,3.2,44.8,44.4,24.6,39.1,42.5,45.8,45,33.7,46.7,0,44.3,18.9
2,23.3,0,0.3,1.7,0,0.6,0,0,1.4,0,0.2,0,0,0.1,0,0,0,11.7
3,0,0.8,0.7,0.1,0,0.7,0,0,0.6,0,0.3,0,0.4,0.1,0,0,0,0
4,0,0,0,0.7,0,0.5,0,0,0.4,0,0,0,0,0,0,0.2,0,0
5,0.7,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.4,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,0,0.1
7,0,0.7,0.5,0,0,0.2,0,0,0.2,0,0,0,0,0.2,0,1.2,0,1.6
8,0,1.5,0.9,0.6,0,0.8,0,0.6,0.2,0.3,0.1,0,0,1.1,0,0.3,0,0
9,0,0,1.2,0.1,0,0.6,0,0,0.7,0,0,0,0,0,0,0.6,0,0
10,1.9,0,0.6,0.3,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cutt eff,81.9,90.9,89.3,88,74.8,96.5,75.2,75.8,83.9,74.1,74.1,74.5,81.4,77.6,79.5,91.9,76.7,94.7
MMEJ ratio,#DIV/0!,2.244897959,2.6,1.965116279,4.436893204,1.523809524,4.148148148,3.964285714,2.016393443,2.833333333,2.54491018,3.785123967,2.941176471,2.202614379,3.592307692,0,3.955357143,3.78
