"driver_mut" "ProjectName" "sample" "CLASS" "indel_n"
"1" "ATM" "CLLE-ES" "04b570c2-3224-4e9b-81cc-089b4a7ff07a" "cNHEJ" 1
"2" "ATM" "CLLE-ES" "04b570c2-3224-4e9b-81cc-089b4a7ff07a" "MMEJ" 2
"3" "ATM" "CLLE-ES" "26c301a6-a597-4c24-9f6c-2293e5ae41c7" "cNHEJ" 3
"4" "ATM" "CLLE-ES" "26c301a6-a597-4c24-9f6c-2293e5ae41c7" "MMEJ" 1
"5" "ATM" "CLLE-ES" "4b8c6b0c-0d0c-4834-a2f3-691e0919b902" "cNHEJ" 4
"6" "ATM" "CLLE-ES" "4b8c6b0c-0d0c-4834-a2f3-691e0919b902" "MMEJ" 2
"7" "ATM" "CLLE-ES" "616ff577-c5c3-432e-a857-f29901de119c" "cNHEJ" 2
"8" "ATM" "CLLE-ES" "616ff577-c5c3-432e-a857-f29901de119c" "MMEJ" 9
"9" "ATM" "CLLE-ES" "66b4a1f3-480f-4050-96ac-920c1c080864" "MMEJ" 5
"10" "ATM" "CLLE-ES" "7f7e007e-4b06-4328-b116-6dcdb2ad8181" "cNHEJ" 1
"11" "ATM" "CLLE-ES" "7f7e007e-4b06-4328-b116-6dcdb2ad8181" "MMEJ" 5
"12" "ATM" "CLLE-ES" "99e7016a-c3c1-431c-8838-beb78a3cc017" "cNHEJ" 6
"13" "ATM" "CLLE-ES" "99e7016a-c3c1-431c-8838-beb78a3cc017" "MMEJ" 3
"14" "ATM" "CLLE-ES" "a9a240f3-d237-4bb8-b968-e4a3cc7c2633" "cNHEJ" 1
"15" "ATM" "CLLE-ES" "a9a240f3-d237-4bb8-b968-e4a3cc7c2633" "MMEJ" 7
"16" "ATM" "CLLE-ES" "d5423a93-0a72-43cf-a7ae-9011f47553c7" "cNHEJ" 2
"17" "ATM" "CLLE-ES" "d5423a93-0a72-43cf-a7ae-9011f47553c7" "MMEJ" 16
"18" "ATM" "CLLE-ES" "eba6d269-27f8-4e50-b59a-5d639bdd5cff" "cNHEJ" 3
"19" "ATM" "CLLE-ES" "eba6d269-27f8-4e50-b59a-5d639bdd5cff" "MMEJ" 2
"20" "ATM" "COAD-US" "00aa769d-622c-433e-8a8a-63fb5c41ea42" "cNHEJ" 6
"21" "ATM" "COAD-US" "00aa769d-622c-433e-8a8a-63fb5c41ea42" "MMEJ" 29
"22" "ATM" "COAD-US" "6ca5c1bb-275b-4d05-948a-3c6c7d03fab9" "cNHEJ" 4
"23" "ATM" "COAD-US" "6ca5c1bb-275b-4d05-948a-3c6c7d03fab9" "MMEJ" 16
"24" "ATM" "COAD-US" "93ff786e-0165-4b02-8d27-806d422e93fc" "cNHEJ" 13
"25" "ATM" "COAD-US" "93ff786e-0165-4b02-8d27-806d422e93fc" "MMEJ" 25
"26" "ATM" "COAD-US" "b2afbcba-d67d-43f1-be3b-05f3a5836ec0" "cNHEJ" 2
"27" "ATM" "COAD-US" "b2afbcba-d67d-43f1-be3b-05f3a5836ec0" "MMEJ" 20
"28" "ATM" "COAD-US" "b6b6e1d3-c592-4836-bdad-d53af2dbcc9a" "cNHEJ" 50
"29" "ATM" "COAD-US" "b6b6e1d3-c592-4836-bdad-d53af2dbcc9a" "MMEJ" 79
"30" "ATM" "COAD-US" "d3d65db3-36f9-41c7-8e5e-1683ce94dfcb" "cNHEJ" 15
"31" "ATM" "COAD-US" "d3d65db3-36f9-41c7-8e5e-1683ce94dfcb" "MMEJ" 122
"32" "ATM" "ESAD-UK" "9bb9164e-ea1b-49ab-bbcc-f59cf8c32345" "cNHEJ" 7
"33" "ATM" "ESAD-UK" "9bb9164e-ea1b-49ab-bbcc-f59cf8c32345" "MMEJ" 43
"34" "ATM" "ESAD-UK" "c9f91ded-3b04-4cd1-8ea6-bbc635a8a4f0" "cNHEJ" 36
"35" "ATM" "ESAD-UK" "c9f91ded-3b04-4cd1-8ea6-bbc635a8a4f0" "MMEJ" 127
