"sample" "driver_mut" "count"
"1" "00508f2b-36bf-44fc-b66b-97e1f3e40bfa" "ATRX" 188
"2" "00508f2b-36bf-44fc-b66b-97e1f3e40bfa" "MEN1" 188
"3" "00aa769d-622c-433e-8a8a-63fb5c41ea42" "ATM" 4063
"4" "0168a2a6-c3af-4d58-a51c-d33f0fc7876d" "SETD2" 755
"5" "01c8e465-2b4e-4519-bdef-c3ac06b43eeb" "MEN1" 172
"6" "020fab36-c7de-4933-b2bf-dc7b019a1326" "EGFR" 544
"7" "0250e6f7-2538-4d1f-a8ff-ca34a7057dde" "EGFR" 2867
"8" "0332b017-17d5-4083-8fc4-9d6f8fdbbbde" "EGFR" 461
"9" "0363fe2c-d765-450e-8b1a-d13a23d9af2a" "MEN1" 45
"10" "03c3c692-8a86-4843-85ae-e045f0fa6f88" "SETD2" 1634
"11" "04339769-517c-448d-a7ca-951f83608c60" "ATRX" 165
"12" "04b570c2-3224-4e9b-81cc-089b4a7ff07a" "ATM" 124
"13" "05780d48-80e7-4d70-b00c-081f8a9519f2" "EGFR" 67910
"14" "05c487aa-72d8-42e6-aa2b-b9b5ce273f5c" "MEN1" 108
"15" "063cfacf-9933-4a2d-8921-0aeb76e12779" "ATM" 464
"16" "075fc96d-6742-4ef3-9369-482592ad3a2f" "TRRAP" 249
"17" "07b5141f-ac79-439b-883b-b0183bbe7ff5" "BRCA2" 928
"18" "08227616-02a5-46e8-9db1-f2d1d691ab23" "ATR" 624
"19" "08227616-02a5-46e8-9db1-f2d1d691ab23" "CTR" 326
"20" "08ac57ec-0036-4134-a9bb-f22eaa27ab0d" "EGFR" 242
"21" "09508a0d-ebe0-4fa1-b7b2-1710814181cd" "CHEK2" 493
"22" "0bfd1043-8183-e3e4-e050-11ac0c4860c5" "BRCA2" 2319
"23" "0cf9bbc2-cbd5-4b64-8d90-cfa416307b39" "ATM" 747
"24" "0dd0718d-5ddf-4c59-8c47-0f51303daeb5" "TRRAP" 3548
"25" "0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f" "EGFR" 1230
"26" "0e7ac212-0469-4f17-9432-205ab1831257" "MEN1" 188
"27" "0ef92ff8-829f-425a-91d8-c594b6e22a2b" "EGFR" 1285
"28" "1168944c-5451-4a18-8758-88bf5723bdd9" "BRCA2" 894
"29" "142b6dbf-c943-4a7d-8ab6-13a975f48d7a" "ATM" 492
"30" "14630c19-9ee0-4ab3-9d8b-8c3309d1e7d0" "TRRAP" 645
"31" "148536ce-ee2a-4952-a19d-10d6f44146b9" "SETD2" 224
"32" "14bf9bfb-14d6-4cac-a556-828f680e8a15" "ATM" 666
"33" "14c5b81d-da49-4db1-9834-77711c2b1d38" "ATM" 20624
"34" "14dd86c1-dfb3-4124-a453-4d64223bc048" "FANCM" 563
"35" "155873b2-e5de-405f-87f6-6de0d238b160" "SETD2" 727
"36" "16c6f975-48fd-4cda-946a-777cb922949d" "MEN1" 184
"37" "16d5519e-ecb9-4fc8-81f1-e0e4adf722a8" "ATM" 668
"38" "1727e88b-df0a-4af2-9191-8c6061d98ad0" "CTR" 284
"39" "1727e88b-df0a-4af2-9191-8c6061d98ad0" "EGFR" 715
"40" "190eb791-383d-4e27-870d-e470630843e7" "CTR" 420
"41" "1a5bf97e-3d49-4d3f-b385-ffa7a295be9c" "MEN1" 70
"42" "1a5bf97e-3d49-4d3f-b385-ffa7a295be9c" "SETD2" 70
"43" "1aff91a6-1b0f-4575-8f4b-4e064a50b886" "CTR" 1117
"44" "1b7838c9-c685-41c3-b184-a2e40c7c4dc7" "MEN1" 176
"45" "1d2d355a-8409-4c8a-9f07-ac62885e228d" "MEN1" 1154
"46" "1d325d84-a3a0-4802-9842-76cb21cecb1c" "SETD2" 416
"47" "1db83e80-bdf7-4d8d-8008-bd8406d641fc" "BRCA2" 198
"48" "1dc9e7fd-fc62-4b32-9619-4e02a266a385" "ATM" 1162
