targets,random_pos,plate
POLQ_4,A01,1
PA1_3,A02,1
LigIV_3,A03,1
PA1_Combo,A04,1
KMT2C_Combo,A05,1
tracr,A06,1
NCOA6_4,A07,1
RBBP5_2,A08,1
NCOA6_2,A09,1
LBR2,A10,1
WDR5_Combo,A11,1
PAXIP1_1,A12,1
NCOA6_1,B01,1
DPY30_3,B02,1
tracr,B03,1
DPY30_4,B04,1
POLQ_3,B05,1
DPY30_Combo,B06,1
tracr,B07,1
PAXIP1_Combo,B08,1
PA1_2,B09,1
KMT2C_2,B10,1
tracr,B11,1
WDR5_2,B12,1
PAO,C01,1
KMT2D_2,C02,1
tracr,C03,1
RBBP5_Combo,C04,1
tracr,C05,1
KDM6A_1,C06,1
dKMT2CD_Combo,C07,1
dKMT2CD_1,C08,1
RBBP5_3,C09,1
LigIV_2,C10,1
KMT2D_1,C11,1
PAXIP1_3,C12,1
LigIV_Combo,D01,1
KDM6A_4,D02,1
tracr,D03,1
KMT2C_3,D04,1
tracr,D05,1
tracr,D06,1
dKMT2CD_3,D07,1
tracr,D08,1
POLQ_Combo,D09,1
DPY30_2,D10,1
tracr,D11,1
PA1_4,D12,1
tracr,E01,1
KMT2C_1,E02,1
KMT2D_4,E03,1
KMT2A_2,E04,1
tracr,E05,1
KMT2A_1,E06,1
RBBP5_4,E07,1
KMT2D_Combo,E08,1
KDM6A_2,E09,1
dKMT2CD_2,E10,1
KMT2D_2,E10,1
KMT2A_Combo,E11,1
LigIV_4,E12,1
tracr,F01,1
ASH2L_1,F02,1
KMT2A_3,F03,1
NCOA6_3,F04,1
ASH2L_Combo,F05,1
KMT2D_3,F06,1
DPY30_1,F07,1
tracr,F08,1
tracr,F09,1
WDR5_3,F10,1
tracr,F11,1
WDR5_1,F12,1
tracr,G01,1
tracr,G02,1
PAXIP1_4,G03,1
KMT2C_4,G04,1
KDM6A_Combo,G05,1
ASH2L_3,G06,1
ASH2L_4,G07,1
KDM6A_3,G08,1
tracr,G09,1
POLQ_1,G10,1
NCOA6_Combo,G11,1
ASH2L_2,G12,1
WDR5_4,H01,1
RBBP5_1,H02,1
PA1_1,H03,1
tracr,H04,1
no_break,H05,1
PAXIP1_2,H06,1
tracr,H07,1
dKMT2CD_4,H08,1
LigIV_1,H09,1
POLQ_2,H10,1
KMT2A_4,H11,1
tracr,H12,1
PSMA1_4,A01,2
HMGN4_4,A02,2
tracr,A03,2
HMGA1_1,A04,2
HMG20B_2,A05,2
POLQ_4,A06,2
POLQ_2,A07,2
tracr,A08,2
LigIV_1,A09,2
ING1_3,A10,2
SUPT5H_1,A11,2
SAP130_1,A12,2
DPF3_3,B01,2
tracr,B02,2
DPF3_Combo,B03,2
tracr,B04,2
tracr,B05,2
PSMA1_1,B06,2
tracr,B07,2
PICK1_1,B08,2
JARID2_2,B09,2
tracr,B10,2
HDAC5_Combo,B11,2
HMGN4_3,B12,2
SAP130_4,C01,2
tracr,C02,2
tracr,C03,2
PICK1_Combo,C04,2
HMG20B_1,C05,2
KDM3A_1,C06,2
DPF3_1,C07,2
tracr,C08,2
tracr,C09,2
tracr,C10,2
tracr,C11,2
HMGA1_Combo,C12,2
tracr,D01,2
tracr,D02,2
PSMA1_3,D03,2
JARID2_1,D04,2
HDAC5_4,D05,2
DPF3_2,D06,2
SAP130_3,D07,2
JARID2_4,D08,2
PICK1_4,D09,2
SAP130_Combo,D10,2
ING1_2,D11,2
ING1_1,D12,2
HMGA1_3,E01,2
LigIV_2,E02,2
SUPT5H_2,E03,2
PSMA1_2,E04,2
LigIV_4,E05,2
HMG20B_3,E06,2
POLQ_Combo,E07,2
HMGA1_4,E08,2
ING1_Combo,E09,2
HMGN4_1,E10,2
HMGN4_2,E11,2
KDM3A_3,E12,2
HDAC5_1,F01,2
tracr,F02,2
tracr,F03,2
KDM3A_Combo,F04,2
LBR2,F05,2
tracr,F06,2
SUPT5H_Combo,F07,2
POLQ_3,F08,2
DPF3_4,F09,2
KDM3A_2,F10,2
PICK1_3,F11,2
ING1_4,F12,2
JARID2_Combo,G01,2
tracr,G02,2
KDM3A_4,G03,2
JARID2_3,G04,2
tracr,G05,2
tracr,G06,2
HMG20B_Combo,G07,2
PICK1_2,G08,2
tracr,G09,2
SUPT5H_3,G10,2
tracr,G11,2
LigIV_Combo,G12,2
HDAC5_3,H01,2
SUPT5H_4,H02,2
LigIV_3,H03,2
HMG20B_4,H04,2
no_break,H05,2
HMGA1_2,H06,2
HMGN4_Combo,H07,2
SAP130_2,H08,2
PAO,H09,2
PSMA1_Combo,H10,2
HDAC5_2,H11,2
POLQ_1,H12,2
