UniProtKB:Q99543	DNAJC2
UniProtKB:Q92832	NELL1
UniProtKB:Q99572	P2RX7
UniProtKB:Q8WYP5	AHCTF1
UniProtKB:P43243	MATR3
UniProtKB:Q6NSJ0	MYORG
UniProtKB:O15504	NUP42
UniProtKB:Q9NZP6	NPAP1
UniProtKB:Q9UKX7	NUP50
UniProtKB:P34947	GRK5
UniProtKB:Q6PJE2	POMZP3
UniProtKB:Q68DV7	RNF43
UniProtKB:Q6NUT2	DPY19L2
UniProtKB:Q86UE4	MTDH
UniProtKB:O14524	NEMP1
UniProtKB:Q9H1J1	UPF3A
UniProtKB:Q9BZF3	OSBPL6
UniProtKB:Q9BZF1	OSBPL8
UniProtKB:Q9BZE4	GTPBP4
UniProtKB:Q6NUM9	RETSAT
UniProtKB:Q8IU68	TMC8
UniProtKB:P04406	GAPDH
UniProtKB:Q9Y657	SPIN1
UniProtKB:Q53HI1	UNC50
UniProtKB:Q5BJF2	TMEM97
UniProtKB:Q8NHR7	TERB2
UniProtKB:Q8WTP8	AEN
UniProtKB:Q53GS7	GLE1
UniProtKB:Q99829	CPNE1
UniProtKB:Q8WVE7	TMEM170A
UniProtKB:Q5TA50	CPTP
UniProtKB:O00629	KPNA4
UniProtKB:Q8TEY5	CREB3L4
UniProtKB:O94901	SUN1
UniProtKB:Q99571	P2RX4
UniProtKB:Q99567	NUP88
UniProtKB:Q99527	GPER1
UniProtKB:P31268	HOXA7
UniProtKB:Q8TEM1	NUP210
UniProtKB:P16144	ITGB4
UniProtKB:Q8IX12	CCAR1
UniProtKB:P51575	P2RX1
UniProtKB:Q92621	NUP205
UniProtKB:Q6IS14	EIF5AL1
UniProtKB:Q8TD16	BICD2
UniProtKB:P26378	ELAVL4
UniProtKB:Q8IWB9	TEX2
UniProtKB:Q8IWB1	ITPRIP
UniProtKB:Q15013	MAD2L1BP
UniProtKB:Q15007	WTAP
UniProtKB:P11717	IGF2R
UniProtKB:Q7Z3J3	RGPD4
UniProtKB:Q7Z3G6	PRICKLE2
UniProtKB:P53816	PLAAT3
UniProtKB:Q99523	SORT1
UniProtKB:Q05923	DUSP2
UniProtKB:P11684	SCGB1A1
UniProtKB:Q8N2G8	GHDC
UniProtKB:Q9HC62	SENP2
UniProtKB:Q7Z2G1	H2BW1
