TYPE	NHEJ	MMEJ
01b0848c-ae36-4ade-a3da-d297b003c99f	17	212
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	1	2
079bcb09-a075-4313-9a3e-dd67734a8c5d	2	5
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	2	9
09cb8bc5-13ac-44ac-9b7d-6de143373570	1	10
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	1	3
0b29c893-03bf-4131-b192-c14a2788d411	3	4
0fc63b79-7fff-441d-88fc-922d53c787ab	1	1
129459c1-38be-45da-bb87-18848c97c544	2	0
1327bbd4-a466-4e26-905f-cf91315f1cc8	0	4
170ad241-9e24-469b-b7ca-3fd783a89b21	4	5
1776f326-b12f-4355-8107-80fa6fcd2159	4	5
183b04f5-107f-496c-8e9a-8263dd00cffa	2	5
1a0ef226-41a5-4b56-9078-4b7834f0c976	5	7
1b0fe1d5-b286-4f49-ae92-94d9c6db9657	1	2
1c28e44a-6e6c-44ed-b58a-e3262c0e6759	0	3
228fb827-c05e-494c-8a21-e1d925e100cb	0	1
2564a262-03e8-467b-9ea2-f3ab38d75ae1	1	1
25c32aca-6738-43ef-a103-243f2f9a3b43	4	2
29a00d78-b9bb-4c6b-b142-d5b8bfa63455	3	8
2b3837b3-ee29-4a08-848e-1206404da986	1	3
2bd9ccca-3fae-4b66-a762-6f30d6276222	1	4
2bf5b018-9f19-4fbd-9e1f-7d958aabe5d1	3	19
2c48eefe-2a08-47bf-8e4d-cbaab6777150	2	0
2e43e0ca-54ea-482e-acf2-0048d9187a5c	0	3
2fdfb06c-0d2f-4e1d-9756-bcb08a7f90af	2	4
31c75873-abb4-4d88-9e2f-07497a6c892d	3	17
32fa6457-c8bd-4d26-8106-925baf13df68	1	6
33bcd589-80db-4a58-8f83-a48cb60e0fda	0	2
368e592d-260c-4f58-81c4-a9f1e6177a4b	0	1
3933c60d-73d6-4f74-ae02-fd545fc1f092	0	12
39c6c3b3-4683-4d11-984c-ed589188da65	6	17
39d38c06-3779-4ca4-b103-1d096f93dae8	0	4
3fb8f017-576f-4901-b8bf-3a58e5d43de3	1	1
3fba4880-cb7b-4ac5-ab5f-728614faa1ea	1	2
40378b7a-a65d-4510-aaba-a34c4058fac7	2	6
42f00950-09c9-461a-8423-d5b04a96af10	2	5
441d2f21-b448-4fc8-8c54-9b85aca56237	1	7
4652ae03-b096-42d0-bdfa-3f6281d4f023	2	7
46e166fe-3b20-49ad-98db-42c854c61c93	3	15
4a4e0397-8702-46ef-aaa8-3980f03a40bf	0	14
4a88981e-e409-440f-9bf0-71ca1bab8b4e	0	3
4aa7eabc-0419-4897-b7af-5dcccfd6ac2f	12	99
4c027164-12de-456f-b933-6bc91f70b46f	3	2
4c4aa1b1-fda3-4c5b-b588-68aa727500ad	2	7
4e1b8e31-3775-4361-bbb4-425b1dfffa27	1	3
52f43b72-15ea-40a0-a3b4-4bf22bc0bf25	2	2
536dedba-46c4-4a21-b112-13c030b13069	0	1
53e6a756-bdcc-4217-afe7-27d776159544	11	12
5650dc4e-8bce-4716-9199-cd5750d7a888	0	7
569ff1b4-de87-4309-8484-80549aaf9485	0	0
5d9ff58c-5702-48fc-a66a-d1276327fd49	2	16
6297aa77-37a0-4f46-987b-32bd8653c0c2	3	3
644c669b-937b-4adc-81b9-6a1811cba9da	2	4
65d2dbc3-a163-4696-b246-47a430e66572	1	9
66290cc6-1f1f-4a0b-83d1-423952da4840	0	1
6ad44218-d34e-4126-bf56-1be2140cd3fb	1	5
6af78566-d042-4c5c-8622-c90710cce64c	0	1
6b20f942-7b89-497c-8a2e-ccce74d20ca9	0	2
6fc0cb07-9713-4355-8543-f85d1c5505c2	1	7
70dd8453-11d3-4105-a8d0-6a755c52495d	1	2
7266ec7b-4824-4b88-910e-e9bfb848d55f	1	1
72f82fbd-9838-4082-b605-bc3d80226f16	6	14
73058c80-607e-4b55-b112-8f8f6775d014	0	2
754d26af-f184-497c-856a-cd1ea7a5115c	2	2
75cd90ef-e884-4812-bbf3-5a524d95147e	1	5
7981bbf3-dceb-4d89-900c-555967e97921	1	4
7c43c006-d917-4915-b304-65995b6c0d46	0	4
7d04f401-3505-410c-8def-0348ecd8aae2	1	2
7d7fff91-3f69-4123-b514-140ed3d9cd66	1	2
7ef9fd9b-d349-4ec3-ab4d-1a1d11c0204b	1	1
7f5fd36f-6e30-45ca-92a5-d8a8a8ee1bc2	5	4
8282283d-247a-431d-9421-0fcc52f0a897	13	192
