TYPE	NHEJ	MMEJ
00493087-9d9d-40ca-86d5-936f1b951c93	0	1
3d477ac1-3bdf-4410-9594-1a3a1412c6ae	1	0
4853fd17-7214-4f0c-984b-1be0346ca4ab	0	4
67f88cd9-ab77-4227-a8d7-5512246f9772	0	1
6847e993-1414-4e6f-a2af-39ebe218dd7c	0	0
85d915b8-0184-4ec7-93ad-e9ffa2f5743b	0	1
86386b36-2950-4479-b79f-4b347053c8bc	0	0
88395c0e-4afe-434d-8b20-5a3eef8b7f00	0	4
8c46a1df-1c10-4188-992a-a55b782494c9	1	0
c1abb741-4fcd-4161-b057-c7efd619cc99	0	1
c6888be2-4517-41e4-a801-9c915f24e737	1	2
d252a54e-0377-4b3e-8228-26108ea704fa	0	3
d414e076-dcb6-4edf-adef-0abdc57354ea	0	4
