TYPE	NHEJ	MMEJ
00c27940-c623-11e3-bf01-24c6515278c0	3	10
01dc6872-c623-11e3-bf01-24c6515278c0	1	3
030695f6-c623-11e3-bf01-24c6515278c0	4	7
041e3b42-c623-11e3-bf01-24c6515278c0	0	7
051fc880-c623-11e3-bf01-24c6515278c0	0	3
0831e45e-c623-11e3-bf01-24c6515278c0	7	8
0a9c9db0-c623-11e3-bf01-24c6515278c0	4	11
0be08326-c623-11e3-bf01-24c6515278c0	4	6
0cdbabf2-c623-11e3-bf01-24c6515278c0	1	6
0dd39eca-c623-11e3-bf01-24c6515278c0	3	5
0eeafcd6-c623-11e3-bf01-24c6515278c0	8	12
10136472-c623-11e3-bf01-24c6515278c0	1	1
10cb8ac6-c622-11e3-bf01-24c6515278c0	12	7
1295947c-c623-11e3-bf01-24c6515278c0	62	59
13bd2b30-c623-11e3-bf01-24c6515278c0	2	7
15895218-c623-11e3-bf01-24c6515278c0	19	24
15fd8dc8-c622-11e3-bf01-24c6515278c0	7	5
168b7204-c623-11e3-bf01-24c6515278c0	2	4
17de5b12-c623-11e3-bf01-24c6515278c0	9	16
18f5e75e-c623-11e3-bf01-24c6515278c0	4	8
19fe27d8-c623-11e3-bf01-24c6515278c0	5	5
1b06afe2-c623-11e3-bf01-24c6515278c0	1	3
1c10ab52-01a3-11e4-8395-af1f6b7ba88c	5	8
1c1c6494-c623-11e3-bf01-24c6515278c0	4	6
1dbdbb2c-c623-11e3-bf01-24c6515278c0	15	19
1df8939c-c622-11e3-bf01-24c6515278c0	3	6
1ea7e01c-c623-11e3-bf01-24c6515278c0	2	4
1fd69adc-c623-11e3-bf01-24c6515278c0	3	3
221d0290-c623-11e3-bf01-24c6515278c0	6	19
2316ee90-c623-11e3-bf01-24c6515278c0	0	0
23eb72d8-c622-11e3-bf01-24c6515278c0	7	18
2468e58c-c623-11e3-bf01-24c6515278c0	3	6
2572b0bc-c622-11e3-bf01-24c6515278c0	1	17
2584b428-c623-11e3-bf01-24c6515278c0	0	3
2828e5e6-c623-11e3-bf01-24c6515278c0	10	14
295aac88-c623-11e3-bf01-24c6515278c0	4	7
2a97498a-c623-11e3-bf01-24c6515278c0	17	18
2bd56bba-c623-11e3-bf01-24c6515278c0	0	1
