TYPE	NHEJ	MMEJ
00c27940-c623-11e3-bf01-24c6515278c0	5	9
01dc6872-c623-11e3-bf01-24c6515278c0	2	6
030695f6-c623-11e3-bf01-24c6515278c0	9	14
041e3b42-c623-11e3-bf01-24c6515278c0	2	3
051fc880-c623-11e3-bf01-24c6515278c0	1	0
0831e45e-c623-11e3-bf01-24c6515278c0	4	9
0a9c9db0-c623-11e3-bf01-24c6515278c0	4	4
0be08326-c623-11e3-bf01-24c6515278c0	8	2
0cdbabf2-c623-11e3-bf01-24c6515278c0	4	2
0dd39eca-c623-11e3-bf01-24c6515278c0	3	2
0eeafcd6-c623-11e3-bf01-24c6515278c0	2	10
10136472-c623-11e3-bf01-24c6515278c0	0	2
10cb8ac6-c622-11e3-bf01-24c6515278c0	6	14
1295947c-c623-11e3-bf01-24c6515278c0	35	48
13bd2b30-c623-11e3-bf01-24c6515278c0	0	5
15895218-c623-11e3-bf01-24c6515278c0	14	25
15fd8dc8-c622-11e3-bf01-24c6515278c0	4	8
168b7204-c623-11e3-bf01-24c6515278c0	4	5
17de5b12-c623-11e3-bf01-24c6515278c0	5	13
18f5e75e-c623-11e3-bf01-24c6515278c0	1	6
19fe27d8-c623-11e3-bf01-24c6515278c0	2	6
1b06afe2-c623-11e3-bf01-24c6515278c0	0	4
1c10ab52-01a3-11e4-8395-af1f6b7ba88c	3	13
1c1c6494-c623-11e3-bf01-24c6515278c0	8	6
1dbdbb2c-c623-11e3-bf01-24c6515278c0	10	9
1df8939c-c622-11e3-bf01-24c6515278c0	5	11
1ea7e01c-c623-11e3-bf01-24c6515278c0	2	1
1fd69adc-c623-11e3-bf01-24c6515278c0	2	6
221d0290-c623-11e3-bf01-24c6515278c0	1	6
2316ee90-c623-11e3-bf01-24c6515278c0	0	1
23eb72d8-c622-11e3-bf01-24c6515278c0	12	12
2468e58c-c623-11e3-bf01-24c6515278c0	3	3
2572b0bc-c622-11e3-bf01-24c6515278c0	1	3
2584b428-c623-11e3-bf01-24c6515278c0	1	5
