TYPE	NHEJ	MMEJ
04bd4230-3a2f-41f4-8e24-1ff79d2575a0	3	4
06f9e2e2-3427-4b09-92b9-dcb54d03e59c	2	1
074fd614-5d9c-4bcc-96ad-351aa14387e3	1	3
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	2	2
29127cde-548f-4c42-96cf-6f0020c3db9a	1	2
3189bc97-afd8-4daf-80c9-2d78a08228d3	0	3
329a13b0-cfc9-470d-9703-3d2a845c0373	1	3
3728982b-4547-4249-bd42-72a91d3fda8c	0	2
3ae3ce4a-54ec-4c3b-83f2-845696ea0fa1	0	2
400b4d20-7a23-49a1-aba1-eeecb35b1b2a	5	5
44406493-37f4-48c7-961b-8714be50773a	0	2
47d90eeb-b8b7-408f-ad82-4aa56c0d563b	1	0
4c6d5765-f6e2-42ca-b673-32ca03523035	3	1
4d2204f1-be84-4f58-b7e7-61ae9fbf6d25	1	4
54016082-bdd0-443b-ae1c-83b8a26e57e7	1	2
577f1ca0-ef1e-4976-b067-910bd4e8a761	0	2
589e0aea-9057-4b8c-8af1-74c74fe46a38	0	3
5935dd9d-d411-48f8-8512-aa73a63878b0	0	2
59e2d6d1-debd-4796-ab0c-6a5673a990fc	0	4
5ee28a35-7aa0-48e3-9c14-daca7b0241fe	0	0
606d7f5e-ff98-4245-a9ac-281f5074f97a	3	1
69fe982d-6ab8-49b7-9efa-8349d60eb076	1	5
6e776415-ddf4-4060-953f-08ef22441234	7	10
7243992d-0763-4b75-8066-e8e5309d0193	0	1
7287d952-3963-49c8-94ae-b046772fff68	0	0
7c477f01-8000-49dc-a692-e47fc15e0b4f	0	1
8c443bd0-7987-44de-b312-5b859e6d13a9	0	1
94b5dc5a-701a-45e3-8f63-8231031a055a	0	9
aa215f18-ae1f-4f0e-89dd-ac59ee8c8c44	1	5
b24feafa-f2e9-4498-8471-a9e42c80cc9f	0	4
b27b569a-2c79-4453-8a2d-41fd0b4dd28d	1	3
b4860b5f-0a80-4fb2-81e1-4bafeb525b1c	1	1
b499032c-6cb8-4646-a95b-10af2a21a289	1	4
b5cc4a6d-93a9-497c-a7bb-a5db82edc176	1	3
bc4ddc32-73af-4b79-a8e9-6f2f01274276	1	3
c307688c-b1fa-47f6-a9e2-1ea41f7645b6	0	2
cfbd0ac4-69fb-4031-8cfc-d8d0884e5782	0	0
d198e753-28a3-4d1c-b005-64b48306fa60	2	2
d6faafa5-7279-4dc3-be71-45af5c855b34	1	3
dc4ba4bc-6333-4fe9-8805-e058cc9e6e18	2	9
dc7faf84-4438-447b-abcf-a3af87043654	4	3
e07affb1-b6b2-40a4-9c54-0e72f5ea5045	1	2
e976cd1d-82b2-4b7a-9fa5-86817aedfef0	3	5
ed4b53cb-5473-4bc1-9d84-0b0ad93cbd57	0	1
ee368301-b2f7-428f-9330-67c054c1a09d	0	0
f02212df-2f5a-4093-bfaf-4a8403d26629	3	3
f12d987e-b2ca-40da-97e3-1cc324e7cb23	1	0
fbea74b5-b1a8-4767-af7c-e179ce8da071	0	3
fd201154-d55b-4be0-a458-2eb92a9f2fe8	2	7
ff023c8f-1a23-49d2-b0a0-d9a322cd063a	0	1
