TYPE	NHEJ	MMEJ
2b40a733-7a63-4bb8-a953-95a4ee28f962	4	28
2b4feb84-89e4-4c38-8561-5ffab02c8132	11	33
42465bbd-289b-4e96-98fe-76809c5e1520	6	25
51b25b37-f75c-4380-a0f6-5273e0b7ee33	11	28
6f981023-4269-4e8e-a4ab-2c92bb27273c	13	50
8888e808-594b-4c76-b2e4-62aa56736f7c	30	48
bc9b66f5-fcb8-4545-ab2d-438bb810edc0	20	58
d4bf6034-aeae-48a6-907b-10e2cc904015	19	49
d8c2b4b2-e12b-43d2-bafc-87b29f027797	55	201
da43386c-47f8-4e03-b6ca-8b94e13792e7	20	63
e84debc4-b47d-48ed-a0d0-2859f0ebf987	4	25
efec3225-de07-4559-9a90-95223495cc61	11	53
f988e698-9b34-45ce-ba4c-74e06e9cae4a	10	37
