TYPE	NHEJ	MMEJ
01658141-8398-4585-9f0f-8355dd9b0604	2	14
0448206f-3ade-4087-b1a9-4fb2d14e1367	38	152
110b5f05-ded7-45ec-b0f6-a941c92d77dd	3	31
13c312ec-0add-4758-ab8d-c193e2e08c6d	0	6
13d05f7a-e16a-40ef-9a15-21257da2cf89	2	5
15f90ef0-831b-40a3-98bd-ec226a9e8b26	2	8
1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa	1	14
1eb62abc-7928-405b-84cc-f091ca5347b2	3	7
207f8a42-5b05-4876-b0ae-ebfaeea27844	16	84
2290b078-6a5b-4c83-9dfb-b525bbf14e4e	3	9
25e4cad7-2403-4992-9cbc-433574673549	4	2
27f87d1e-2c32-4beb-9677-62f7a286673d	0	5
2b000af3-2c9d-4eaa-af3f-8101b7425c37	3	6
2c6f1862-bb82-4e7e-9cb3-338bdf022ff4	2	1
2da2b745-068d-408c-9163-3b3a78d4aaed	4	1
30dbe353-86d5-40ed-84c2-dbddf7beb17b	0	1
3585e133-b3c1-4d90-b5f2-2b867e0ae0ec	7	10
36d1a85e-a09b-4537-86e0-eaf1eb03aed8	4	5
418e916b-7a4e-4fab-8616-15dcec4d79f8	3	28
41f140b8-72b9-4ae3-8b25-6144d9f94d0f	0	0
43f7a2e0-fec9-4e43-872d-18c6c946fa17	6	14
467ef778-f481-44f3-9768-b9900252d2ba	13	43
47b5d831-5287-4f62-b17a-6e5eff2e4184	2	9
4d409156-3a36-4c63-9ad6-b6af34f27b06	5	5
4e84eed6-82a8-4e91-b0fd-61ec6ef69ce9	0	4
546b982f-60d9-43df-9761-09369afbee2d	0	8
5a535c49-d42e-43c6-9d32-dc76f28d4f0f	2	8
5b7d5767-2037-4175-aec9-886776343181	1	6
5dbf3203-ce73-41e4-bf9a-32fc856f73f5	28	138
6764e0a2-7a78-45c1-9189-6001c6518ce4	22	111
6c65cb6d-8c50-4c7c-bc84-eeebe09fbe01	3	9
6c8e9197-fd16-4fed-bfda-e349cab26314	16	76
6d7f44df-e9f0-4542-a6d8-d14ee7804002	0	3
6dbc5c31-043b-40e9-bf1a-e7b4ec351b4d	0	3
71fda5a9-7049-406f-9348-2c24f7ddf5f4	9	73
73936e8b-c893-4afd-bd1f-be90c06a4869	2	4
74039acd-5aca-4c65-818c-3b577d295be0	3	9
7456abd5-303e-4e6f-bf4e-47efefc7310f	3	9
74b57d2c-a83f-4798-b86b-a533975e4cc0	5	18
7b0b60c7-5fa0-440e-937f-8d82119330d6	1	1
7cdbe0e8-f614-4f54-b864-fd6b39e8ef1c	3	5
84c77098-03d0-4b22-afb1-797703e85c6c	2	6
8691c87f-2468-44bb-a670-3dccd6da33c6	1	1
8e03e773-5557-4e78-889b-4710c515378f	3	28
8f558713-f32b-403b-aedf-c79efeb41c67	3	4
9032b7fe-e38a-4641-a45e-67041668adc4	28	76
97064332-1d4f-4571-93ff-354ffe6d7df9	1	10
987d41ee-6bab-490c-b0f2-bf28c0089de9	3	17
98bb3025-0637-4106-8621-12df7b5d662f	0	1
9c70688d-6e43-4520-9262-eaae4e4d597d	1	6
9ddf2119-a222-4fa5-a9f3-0bec7eeea36b	21	88
a6c14ebc-81a2-44f7-af87-2b7ec85e5696	0	0
a85cf239-ff51-46e7-9b88-4c2cb49c66b9	3	67
a876398c-5b1d-444f-a360-5fe2db697480	19	82
aa58c09a-7799-4675-8310-d270224b163e	1	2
aacaba97-ecde-440b-aae0-0e9c608c4b24	4	2
b27d75ba-5989-4200-bfe9-f1b7d7cf8008	20	92
b752b444-f033-4be4-9d24-e5e80b4181af	25	96
c61ded54-f80e-4da8-b1d8-e22551c96118	1	5
c67409b2-ac25-42a0-8543-4636ef132fe4	0	7
cc4f9175-a8c8-424a-99d7-8bd11cae0e52	1	7
d5372745-95cf-4572-a6e7-e7f5b796911a	17	93
d8c6d4b8-f279-4edc-aaa3-a1cc266aec4d	0	6
d8fbb398-d1da-4444-984a-22c8523625da	17	155
dabb5a94-9706-4429-8db0-c328e2004340	0	2
db45d81f-695c-4f99-beea-6dbec1ff47fc	7	14
ddc7377d-82c3-480a-be3c-3d1da52c77d4	1	2
df291849-4c35-44e1-b013-8f6b7ee36113	2	13
e5593865-5f8e-4a4c-b36f-73fbe64d66da	4	2
e55f338f-97e2-4394-ae23-c92606069485	2	4
e7dc7492-3a84-49c7-8dea-8f508b53dc40	2	3
e8392f20-c9e3-4649-b64f-5b266c393a76	3	1
ea43434b-197e-48ac-ae2e-46bc7f3776de	15	210
ec4d4cbc-d5d1-418d-a292-cad9576624fd	1	3
eddfbfb9-3ae8-449b-b870-46062a2571c1	6	39
eef9dce1-6ba6-432b-bbe2-53c7dbe64fe7	0	1
f39cc911-36a7-4c06-9e91-4ad86281db3d	1	2
f6114c69-71a1-47d5-9b28-b0227b1872f7	5	3
f69e5057-eda6-4391-ba9a-aedbf6b572da	11	100
f848b66f-bd9e-4fba-afd4-eb58848d1ef4	32	116
f8f749b7-547d-49fa-9da2-44eed962b6fd	1	4
f9f04e42-63a2-4ee1-ade4-9e5bb5c20cdd	1	3
fb9135d9-2acf-41dd-8552-359e6b8c9470	4	10
fc6d77a9-121b-48ab-a899-713c3d1319a2	20	87
fe04d042-a4cc-4a14-8197-415ea40951aa	31	274
