TYPE	NHEJ	MMEJ
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	0	4
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	2	3
1e27cc8a-5394-4958-9af6-5ece1fe24516	3	8
374cbd87-428e-4509-85c1-b7d3302c30a0	0	1
3914c02e-44ad-4c96-8464-61aa95b42c49	2	2
39520be3-a2af-4189-acf4-9d239363333a	1	4
41d50a3c-49fc-4d8a-9c25-bbbcd3a5da6f	0	2
4a1ad661-f6ae-44e8-b50b-72ff658ff22b	1	1
53dec97d-0464-4ffd-8e2e-95b2b9a03af0	1	3
65723119-bdfe-46f0-b629-c171023abd71	0	0
6de41ac1-229b-40b9-a494-5588c284351d	2	1
7163a0f7-2c69-40b8-8857-8ab3f46f0acf	2	3
7cae6c0b-36fe-411b-bbba-093a4c846d84	13	25
914421d2-898e-433e-bb66-b1710eaae2c7	3	5
96e3db14-2bb1-4f68-aed6-5e794750c96e	21	15
96ef40c3-8d4c-4fe1-a33a-99f5b205a0bb	4	5
9880c3c9-5685-42a7-8fe9-7585ea1a1d37	3	8
a8f86b64-914c-4d89-897b-33bcdd1759f7	1	1
b1e62d8e-24d2-4118-8cd0-3142acebdd5b	0	1
c27290e4-6835-448a-abdc-df8ddd5f4630	2	2
d1132127-1250-43af-9c16-425798a3d1a7	0	5
d60f54f5-b154-42c4-99fb-cea4e7a33dc7	1	5
eab71331-53d3-4cf5-96c9-5121a3962c27	0	5
ece0f3a4-a204-4c52-bb1f-88d44a875b2e	1	2
fca08ee9-b480-4dc7-be56-f1eb03b56f7c	3	7
