TYPE	NHEJ	MMEJ
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	2	4
2b142863-b963-4cc9-8f8f-c72503c93390	10	7
301d6ce3-4099-4c1d-8e50-c04b7ce91450	5	5
45a7949d-e63f-4956-866c-df51257032de	0	4
4838b5a9-968c-4178-bffb-3fafe1f6dc09	4	11
7d2a22eb-7344-4cba-ad7d-94c3f9ef3d7c	0	3
804ffa2e-158b-447d-945c-707684134c87	2	4
8c619cbc-9e91-4716-9711-5236e55d8f46	0	3
94108975-b7a0-40ba-ad39-e44cc62e8cc0	5	15
973d0577-8ca4-44a1-817f-1d3c1bada151	2	7
abd2d959-d5ed-4eb3-9759-67eb1aa23325	1	10
acc629cb-ad03-4cec-9b21-922e4932ef3e	1	2
c66c92d5-df65-46e6-861d-d8a98808e6a3	1	2
cda1a403-16b6-487c-a82a-c377d1d0f89d	1	3
d4615ca0-b5c7-4a5c-8593-bd50034a78ae	2	7
df8a913c-5160-4fc5-950d-7c890e24e820	1	1
e6c78a98-f45b-482b-a551-4f11b8c1ff8b	1	0
f389176f-d8f3-45c2-aae4-7378a3d6fc7f	11	8
