TYPE	NHEJ	MMEJ
0bbc7ede-5022-4084-925c-d65baaf7abc2	5	4
1c3df485-8e75-4378-87f6-c6463a520624	3	9
24badf07-8615-48a3-8d6e-45c3d783f18d	7	6
25224aa0-cfdd-48ec-92e5-8f3992a3e574	8	15
2fe2433b-9a55-431f-a869-2b5a63e8e8fc	14	23
34881c6b-f59f-42c0-9f29-9c5c47262ae6	12	43
369c06f2-8904-49cb-99d1-dd297ed0cd0c	3	14
387c6519-6529-4074-a5ab-00f8052a5732	5	13
43aa4123-0fe2-4071-8a81-cbdd0410b917	8	10
448af8b4-e071-48b0-a65b-b4ad17afdc0c	2	12
48f68f73-3ac0-44ac-ba12-b8889fcb7f38	3	5
4c3840df-9824-40db-879e-6d24adc8c155	7	4
504d4cb0-d2dd-420d-82e6-9ec14434a0fc	1	9
649f2c20-5b50-40a8-a6fd-9a51f3d5b9df	7	15
692dfa4f-45e5-4183-b5da-6650a1fbcabd	8	18
6962bc97-fbb8-4220-a600-e3c251e245cb	6	12
71a2b4a2-88dd-4911-a67e-70b3309c4a12	10	22
7731ef7f-25bd-42f5-9a20-be249306a711	5	12
79eb7bba-f0d8-462c-add7-20a2fb7843e1	3	4
7ac0b303-d685-4fa5-bfec-34d2ba1dbc8e	3	16
7dc5f8ba-0080-43d3-8426-bd527a970761	8	57
89c48e53-c8a9-4518-b3b8-509cdcaff52b	2	20
8cf9b32d-3d6f-4898-8c7a-89511b754021	0	1
935b113e-f5ed-4a07-8e1d-1603daba7f40	3	25
9623d295-c23d-4f2f-827c-69f767a26f1f	6	8
96dc785c-8417-4813-8d15-c32b22d78b74	4	12
a762dd44-a8ac-4269-8163-bbf6d0f8d4b3	5	7
a96eddfc-3afb-4bf8-a440-c91778113fbd	4	18
abc94013-71f5-4ac6-88a4-01b4ef9f9d2f	4	13
ad41f1f3-e38e-4418-9c16-52bca5719f39	1	14
b7a7d93b-38a7-4fc3-a433-3bb0a8cb7c42	5	4
b88f014e-bc0f-4775-8228-39e0b471c3b0	6	20
c48d7f4a-e98a-4077-a749-eb9f56f05b84	4	35
d18c6e64-9598-488a-8ab3-3652072f9277	4	28
d2ab2555-7288-47a4-a80c-bf62d65b67b8	5	11
d54ca81c-1bcc-41ea-b17a-9f7249ebe9c1	6	28
e7ebc6fb-0926-4c8a-a67b-0c6b9c1ffaba	4	17
e9cb8877-8e83-46c0-93f0-ea20530c9400	10	6
ee6cc68e-8d2a-41ee-82c6-0fecdf7e6259	6	24
efe4d5dd-fffb-41df-ab86-be06cc16646f	5	8
fab3d6f4-de1c-4d6c-bdea-ac39a7884657	7	10
fb0c6353-a90c-45e2-9355-7cd16cf756ff	5	17
