TYPE	NHEJ	MMEJ
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	0	2
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	0	0
0363fe2c-d765-450e-8b1a-d13a23d9af2a	0	0
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	3	1
0e7ac212-0469-4f17-9432-205ab1831257	3	0
16c6f975-48fd-4cda-946a-777cb922949d	1	0
1a5bf97e-3d49-4d3f-b385-ffa7a295be9c	1	2
1b7838c9-c685-41c3-b184-a2e40c7c4dc7	2	4
1eb1bc62-18f6-4bcb-a16d-aa6a91914031	0	3
2660825c-68f0-4631-948e-6da158edbe9e	0	1
3ad44032-01fb-4f84-b880-f01bb13a4359	0	0
3bb25b72-ceb1-4169-891e-339f22cb0f03	3	7
48b15122-b1e9-4c30-8fc5-70a07686779a	0	1
4b5d9d8c-ff95-45f4-9287-2804e8a98ade	1	2
559c30f2-8ae7-43c8-819c-800261065e06	2	4
5702affd-eafe-42a4-8f56-c1f22f8f184d	0	2
5f13e9b8-6c8e-4fd7-aef1-da4e5d5e2a5e	1	1
6dc43234-4f07-4c53-8b07-8d78d9dbad3b	0	1
96e99cf0-707e-49f3-9ec6-cb4f90ecf7e4	0	0
9cfa4e8f-ea4d-433b-8c2c-54f66ecb7e43	0	3
acb5e263-111b-43d8-9bd1-adb9a54e0fc0	0	1
b4e5626b-44fe-4cdb-a7d5-42028e0dbc4d	0	2
b8068cbb-4523-4ac9-ab17-edd4eb0e2975	0	2
bf91afc4-aa2b-4365-80c5-b98c9d118e10	1	3
c766274a-3c1e-443f-9ed4-c0e2b9c904d1	0	4
d515c7d2-2314-46bf-9736-ff3f3d2ab599	0	0
dc57c2e7-4c5b-4e2b-93c6-f032fcebc2fa	0	4
de4d6f9f-d64a-41b9-a928-64e79b9f7d5f	2	2
df2d41c4-7e79-4a46-aa4a-2a11c051ac40	1	1
e3eb5217-50e4-49e2-a6fa-f847d091f3c9	0	0
e541b5b9-546d-47bc-acd6-4006ce0eec1d	0	3
fe63d42b-d471-45b6-9bdf-1a3b55465d37	1	0
