TYPE	NHEJ	MMEJ
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	6	7
0f53e757-1823-409f-a0ea-249270728e15	6	9
10d15b7a-16d1-4953-aaef-f193ffa97f42	5	7
252a1c43-f954-44d7-8e31-6bcd0157a05c	4	3
267a9862-17bd-4056-ba4a-1f373736ffbb	12	13
2c581a74-7716-4c20-b366-a8e1d9a901f6	5	16
39c55051-e1bc-4081-962a-17205645de45	4	12
3feac02a-c99f-4dd9-9eff-e4f5e87f7dc5	8	10
51206157-94cc-4702-8247-c98283b487aa	7	12
64446aec-c125-4c81-b9cc-62482cb1aaed	6	14
81d0d6bb-7319-4b67-bcf7-36df24e76b43	7	9
85448d11-9f84-44b7-8ae3-a115f24bdb76	3	4
9ae0744a-9bc1-4cd7-b7cf-c6569ed9e4aa	2	5
9c181313-5b4c-41c5-9ad5-a5a86fe609aa	5	4
9fb40473-74cb-43cb-9a54-c990b8bbde17	9	8
a4f8305f-4409-4776-b34d-4878d18c8693	3	6
a54aac0e-4108-49cf-bf50-687031c7cda6	6	5
aad8c8d6-d828-4aac-9cfb-cee893e36850	2	3
b51fa117-2c0a-4e1d-8ec4-9f039073a486	7	6
b6365bdb-e6d5-4615-95b3-db12a0c2f3d9	5	6
bada0a2b-88cc-4f38-9be5-f4b698ae4db1	2	3
bcf54c96-2b62-4e24-926f-d77576250dd1	2	4
d429c27a-5963-42fe-b3a0-7252c20669d8	7	6
d7f1db09-8ba0-4b76-bcd2-01c14165f0d5	6	16
d991f23a-dc1b-427a-b798-bd4187d3aa02	9	13
db4592fb-13c2-4d61-9dc3-a5d43def8d4b	9	7
de4c3f91-d164-47df-9971-feba840d247c	10	4
f64e9609-d75d-400c-a92d-d77fd54d6c29	14	10
fa5e2900-95e7-4700-9707-a329cd0c77fd	8	3
fbf937f1-5f30-470c-8a77-46cd1c41e073	10	9
fd74de4d-6973-4597-a541-e8a13d80ad55	2	3
