TYPE	NHEJ	MMEJ
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	1	9
0f53e757-1823-409f-a0ea-249270728e15	5	3
10d15b7a-16d1-4953-aaef-f193ffa97f42	4	3
252a1c43-f954-44d7-8e31-6bcd0157a05c	1	4
267a9862-17bd-4056-ba4a-1f373736ffbb	9	9
2c581a74-7716-4c20-b366-a8e1d9a901f6	3	5
39c55051-e1bc-4081-962a-17205645de45	6	5
3feac02a-c99f-4dd9-9eff-e4f5e87f7dc5	3	4
51206157-94cc-4702-8247-c98283b487aa	9	12
64446aec-c125-4c81-b9cc-62482cb1aaed	10	10
81d0d6bb-7319-4b67-bcf7-36df24e76b43	15	9
85448d11-9f84-44b7-8ae3-a115f24bdb76	3	0
9ae0744a-9bc1-4cd7-b7cf-c6569ed9e4aa	3	2
9c181313-5b4c-41c5-9ad5-a5a86fe609aa	5	3
9fb40473-74cb-43cb-9a54-c990b8bbde17	4	5
a4f8305f-4409-4776-b34d-4878d18c8693	2	3
a54aac0e-4108-49cf-bf50-687031c7cda6	2	5
aad8c8d6-d828-4aac-9cfb-cee893e36850	0	4
b51fa117-2c0a-4e1d-8ec4-9f039073a486	4	8
b6365bdb-e6d5-4615-95b3-db12a0c2f3d9	7	11
bada0a2b-88cc-4f38-9be5-f4b698ae4db1	5	4
bcf54c96-2b62-4e24-926f-d77576250dd1	0	1
d429c27a-5963-42fe-b3a0-7252c20669d8	3	13
d7f1db09-8ba0-4b76-bcd2-01c14165f0d5	3	6
d991f23a-dc1b-427a-b798-bd4187d3aa02	14	13
db4592fb-13c2-4d61-9dc3-a5d43def8d4b	5	8
de4c3f91-d164-47df-9971-feba840d247c	6	3
f64e9609-d75d-400c-a92d-d77fd54d6c29	13	13
fa5e2900-95e7-4700-9707-a329cd0c77fd	6	7
fbf937f1-5f30-470c-8a77-46cd1c41e073	9	7
fd74de4d-6973-4597-a541-e8a13d80ad55	2	4
