TYPE	NHEJ	MMEJ
031962d6-fc7d-4c6c-9d47-ffa45997b249	0	0
03b5268e-881e-49e7-824f-170c3fc8b11b	0	1
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	1	2
0609b182-0396-4755-b463-10f949c5b8bb	0	0
0624eb1d-3aff-4037-a3c5-fc363a9edd02	0	0
097a024e-a4fd-486c-b165-d3adf50ac96a	0	3
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	1	8
0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0	1	1
0e1e628b-823a-4861-aa95-bed2fada7349	0	0
10bc2704-6cef-4d1b-83ac-4804544765ea	1	0
12d7121a-0345-4808-a819-09d6e3227bd5	0	1
13446fc4-9fa6-4bb3-a00a-b9265b41eb12	1	0
139c9b8c-3f0c-49fd-8b5a-c06d65aa02b6	0	3
13c7065e-6780-4571-978e-a7c13078ff50	2	0
147e3496-514e-4da7-be42-7cd9be78ed04	0	0
14f41457-25c3-4979-8515-4f33322039a5	0	1
19aa8223-ee84-4b5c-b11a-6ca2a2680b3c	0	1
19b6b9d6-6912-4b85-a4bf-52014bcb170b	0	1
1bd74f92-47f6-427e-af6f-299c3a7fe023	0	1
1bea3a72-3b73-4072-a6bb-96a90119d3ac	0	1
1f8d8720-30ca-4057-90f7-a34b8383eafe	0	2
2009e5e7-1796-445b-8677-46b3804fe0bf	0	0
209a9b10-7129-48fe-a899-d14ba17efe6f	0	0
2321c412-7730-4694-bc8f-199d7e51a7f8	0	1
272f4b9d-0ecc-4046-a68d-3918520612b8	1	1
27847313-3b1e-47f2-84f1-acadaf265cf3	0	0
2abe2e53-ad9b-4fbc-b9a7-93444f1bea87	0	1
30376989-7edb-4863-9496-1789eccef8c4	1	1
3166f1ae-678d-42ae-9d44-d3d25d6860c7	0	1
32a63b4f-3baa-4987-ad30-5bd0c0548088	0	0
34b0c838-bf6c-4d0f-8cd2-d2928adbb539	2	1
35b951c0-edb0-47c4-9076-ede346ea7cb1	1	1
363d3a59-dce3-408d-a736-5c29ba9f9b6d	0	0
391a949d-217a-472c-a6d4-80e548039684	0	0
3d24f4b5-2415-4ddd-9fdf-b455e0954ddd	0	0
3e1180a5-149c-4e6c-9a29-696e3ba567e3	1	2
3e6f03d3-23f2-437e-a735-4a18f89ccfa0	0	0
3f3aff50-d71b-44af-85d4-f81e813ea420	0	1
436af904-65b2-4196-ad8c-a4e98081ee41	0	1
48fadd0f-6561-4294-bff4-d5e4f7dfe79f	0	2
492694a7-bb41-4128-a909-c424e7fc0c9e	0	0
49fa7e44-c86f-4b1f-8849-e5fe5b9de734	14	4
4a35b01f-5e19-4673-abea-d87fd1d605d0	0	1
4a698352-25e6-4137-bef8-b6520d5b1b95	0	0
4aaae9d8-0693-4901-816e-aaeb8d3ecfaa	1	1
4d121008-0987-4142-a2b8-7dac58f3110a	0	0
4d690424-b015-46ae-885d-aa6d9031f66f	0	1
4d6bb438-86f0-4414-962f-2b1cebee4524	0	0
4daa2708-d0db-40fe-a07a-763f003adcae	0	0
4e361622-f9a8-4e9b-a89e-19bafebe1d6a	0	0
4f3c2c94-fa7f-4945-9dff-e4d4dac95f56	0	1
518d6c1b-8234-40be-9560-6d383d5866fa	0	0
55c75a2a-f3d2-4469-9d23-604cf539d548	0	1
573ee34b-43a7-40d8-95ee-0ced4b46a7c8	0	0
589daa3f-0b76-4c9c-b494-048955e36052	0	0
59bfcb53-91c1-4dce-856a-f4afc8fa6224	0	0
5ab6a1d3-76f8-45d4-a430-d9831daa9ec4	0	1
5beafbbb-4613-4bab-977a-11c865e13a84	0	2
5c775f90-83d4-4c1e-88c2-4e1ed1daa96f	0	0
5cbd429f-ffab-41ad-8016-422f1c922e99	0	0
5f00a760-fbc0-41f0-b92b-b3c553eac0e5	0	2
5f096d7b-a1ea-4cc2-af73-10108089ae84	0	0
5fa88c3a-dbc1-43f2-82b2-e0592f35ce57	4	6
637208b2-d8b6-45a3-a389-6f34db18fea4	0	4
6551ec26-4166-4d4f-bee2-444ea2466978	0	1
68956108-2606-4696-b038-462b6c432398	1	0
6c642c0b-4dd0-406c-ac68-ea376802d61b	0	0
6d2a5ee7-9e46-4c09-a982-7b61b5d9bdea	0	2
6d3d5531-16b4-46ec-bd7e-394946855d62	0	3
70990332-7702-45e2-84cb-8bbff773f160	0	2
72b62805-76f9-476a-b876-a781e69a2c90	0	2
7ac3e543-3bc2-4a59-84fc-b5aa0def592c	1	0
7bd4d5e2-69ee-4264-93e4-2ba01418c460	0	1
7f22b0f7-4040-4c84-939e-894c3050ef5d	1	0
8404ef5b-7a64-47fe-98f9-3f63619d2d99	0	0
868c95ad-45df-4f8e-9553-b7c2c5679deb	0	0
86ae34f9-e16a-4593-8e55-b1296782bc1f	0	1
880e6970-0131-4966-b13e-8614d33f0df7	0	0
889fb525-5055-4408-a12e-17f1225c9d29	0	0
8a8dd718-c46e-462a-9793-83d88f5caa7f	1	0
8bda75a6-86b9-458e-948b-05049b4c52ce	1	1
8efb116f-4ecf-4191-8ebf-90a94c1880cf	0	1
906f6f1e-569d-4ce2-9273-1f305782f77f	0	1
90ab64be-2229-4a8e-b864-4260b6cb39e9	2	2
924bcc4a-c982-43bf-8bbb-641dc983d65e	0	2
