TYPE	NHEJ	MMEJ
008aef39-0c97-48ce-9dfd-f12d67116c59	3	7
07531318-87e8-4db8-aa61-9b93597d063b	3	8
07f16397-71bb-4594-ad4d-caa7d2baeabd	2	3
08e1d976-6c39-428e-a4c2-f655b675683e	0	5
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	1	8
0cb4356c-b5d6-4541-b048-ff6d4b3a5d26	1	7
0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169	2	3
108b67d4-5d66-46da-8675-6acae643b76f	2	0
120f01d1-8884-4aca-a1cb-36b207b2aa3a	4	10
126ee433-d345-4cac-882a-c91831a24690	2	5
145f2b89-8878-4390-b0f6-f09b02fb138a	1	3
160b3dff-da2b-4099-b826-be4128e316a8	0	0
186cacaf-4f20-4ad2-a07a-a7dc942a70b0	2	5
1a319682-f55e-4e0b-8476-48a0bea6c265	1	3
1bbfe6f2-ad19-4d29-895b-973f5a91c707	2	6
1d91f9c7-67ba-4606-9f0a-01ec6fc08262	2	4
1eb37b28-fac2-477a-88b3-e04291a07926	1	2
2127b79b-3f38-4aed-89cb-7c4fce71b118	0	4
289790a5-77bd-49a9-a1ec-478a8ecacd7f	2	3
2c9c50ff-01d9-4703-931b-04119178706f	3	3
2ea2294d-fab9-43ae-a222-370487495b06	0	2
304c3e10-583c-421d-ab01-15c937d5014a	5	3
32d8c373-b5c8-420b-9808-8812b5501649	2	11
35553150-e4ef-4539-b220-259f2d634bd7	1	6
36962459-e81f-4b8c-a08d-df60ef3283a3	4	1
39aee9fc-fa27-4b71-b9e8-43ff34bd3930	2	2
3e86e68b-d083-4450-b056-4cd0f8d4a084	2	2
41027c0b-85af-4c78-bba0-0da63cd75fa9	3	3
42a548f0-d86a-4273-8bda-be0fe6a53b20	2	6
43b675e0-22e0-42d6-a060-afc93e22ac95	4	1
44083f54-0953-48e3-a704-11ad0988ad2e	3	5
45d0ccb2-641f-4348-b3a8-61f4113cd85b	0	5
475bca00-9089-4f50-8638-4e5e8aca6dcd	2	1
48c33a30-557b-4ecf-8066-5b4b068b5e3a	2	14
4c5228b5-bf31-4abd-a47c-d088e16dba13	1	13
4d11d7da-1204-437e-87b1-e8337a67c9a8	3	8
4eac784b-084a-4106-9a76-2d9fbec57033	0	1
59938f45-3e57-43d6-af3b-bb4968249e5a	3	4
59c18694-8a43-41dd-a6f6-52a20bc8dd54	2	5
61973578-4c0d-4a3f-b9c4-f96ceab24629	2	9
61a48c69-4f7d-4dc6-aff7-88a6c33137df	2	6
61d941f1-87df-43af-8a29-b6809c809275	1	0
6218f366-d5d2-4289-a95e-eeedfae7523a	2	5
6947cd78-0a51-4949-8383-343f9122d953	1	4
6d936ef9-b5df-44d3-831f-528bf8ddc131	4	6
6f25ca85-4b4a-420f-b0cc-5a4f65a97da3	1	4
734a8251-9ecc-47f5-835f-846b67693ca6	3	4
73a91624-ae27-4ca7-a522-90e39fa2a064	1	13
783579bd-e29d-457c-8236-1a80b557600c	2	3
79914ce9-04d8-4b0d-9f16-2e528044966e	0	4
7a95af21-ca7c-4596-9c83-66d11ca0c417	0	5
7dd2dc62-0eb4-4d45-86f1-e9e9377181ca	6	1
7e4d570e-f26b-41fb-84c5-2a6f7d668bb5	3	9
8044a282-bc2c-47c6-8a85-53c3b5eeb08f	0	5
836ec5a5-e385-4236-83e7-2641ee35db7f	4	14
84ae4dd8-f661-46aa-9892-69742e2f3542	1	2
86874a67-aa86-45f1-be32-3b2722ebedec	2	3
8689b53c-8883-479c-85f6-d13b86272b5d	4	2
887616c5-06a7-4e83-948c-3546202349fb	2	8
8a9359de-b0ad-4a2d-a543-e3b982697db9	0	2
8bbe4006-be0a-4cd5-91f6-529100d4f06e	1	2
8c0a7dfa-6ec3-4262-b718-c3605722df37	1	3
8c850df7-d48e-4386-b3a5-cac5da865ea5	0	2
8e7fe8bb-6b3d-428f-a232-97e6042a0f39	1	6
90fd404b-f734-41ed-a601-0f30e43625fc	2	6
95785e54-e402-4f77-87ce-62ed290dc93b	5	5
982b58c4-02b3-4e7d-8af0-4b133d0c7e50	2	5
98f54445-b151-4aeb-b8cf-91d743ba066e	2	1
9ed8f0b9-d615-44c4-9ec9-e07ecd744922	4	6
a08ec059-7592-4698-bb45-25a9c3680c23	3	11
a1af7c42-47af-435c-bb51-b932a3cd7b91	0	5
a6d8467e-88e3-4ea5-8583-61c5ab9747ae	5	4
a9ec7d9e-b179-4782-a589-43c7d1642be9	1	1
ab8a55ed-ff47-4cad-ad91-52b9dc25aca7	4	5
acb9750e-7e17-4cef-bee1-5d710f9bf3a7	3	2
b1f2442f-a973-47b4-9891-f028f0d44adc	1	0
b33978c6-a855-4f9d-a0b0-d79453b9de41	1	12
b33b7c8f-0b0d-4009-88a7-48e9d9cae6cb	2	2
bb02202f-d140-4bec-95ce-5c2b117a2167	2	9
bc9f105f-6d99-44ac-9871-67defd5e85cd	1	4
beafb7c6-ef39-478e-aa47-0f1ad39f95a3	3	3
c08f65a0-bf4c-462e-9d07-ad56b3adcac8	1	3
c14b2c74-447b-4526-a6e9-415d2728c7ca	1	0
c6a28615-1b92-4085-956e-eeedb2573c03	2	3
caf2e99d-8f1f-4043-b567-c3fe28dc33ac	2	4
cd0c3b1f-c73a-4991-8724-4e74381900cb	0	5
d0f4dd92-a63b-4766-8889-5327fca1bd91	2	4
d1875ee6-6677-4117-a7a8-930ab5cde775	1	1
d277e679-9fdd-44cd-9f2c-f9927e44d721	0	5
d709d214-02ee-46c1-a73a-e7074cb2623e	1	4
db198301-6c69-4d56-88d1-c650406423dd	0	2
dbfdb5c6-f52e-48f3-87e7-fb922df9e7a9	2	7
dc85552c-2488-48d9-9da1-67a380945b85	1	5
dcc938da-3e45-4c2f-ae0f-47817be04518	1	1
e26e35d3-d7f0-40e4-9904-39daa4c43865	5	16
ed7be9ae-e603-4731-8d91-a8285abaee33	2	3
f1534b2a-5350-442c-bb9d-8c7142668d31	0	2
f3aa0d5f-2ba1-48af-ba95-f1c99d2c96af	0	18
f5378545-17d4-4a64-a57e-f6c91ef4cb3a	1	5
f640d377-98e9-41d3-8761-61eb33072c65	5	6
f7cc504a-37c9-45f5-b50d-599c54dca157	4	1
f9854144-d92c-46da-ac87-9d1fd7efe67d	1	3
ff870342-f0d6-4450-8f9c-344c046a0baf	0	3
