TYPE	NHEJ	MMEJ
008aef39-0c97-48ce-9dfd-f12d67116c59	2	10
07531318-87e8-4db8-aa61-9b93597d063b	3	1
07f16397-71bb-4594-ad4d-caa7d2baeabd	1	3
08e1d976-6c39-428e-a4c2-f655b675683e	1	1
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	1	1
0cb4356c-b5d6-4541-b048-ff6d4b3a5d26	2	3
0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169	1	1
108b67d4-5d66-46da-8675-6acae643b76f	1	1
120f01d1-8884-4aca-a1cb-36b207b2aa3a	5	7
126ee433-d345-4cac-882a-c91831a24690	0	0
145f2b89-8878-4390-b0f6-f09b02fb138a	2	2
160b3dff-da2b-4099-b826-be4128e316a8	0	1
186cacaf-4f20-4ad2-a07a-a7dc942a70b0	4	1
1a319682-f55e-4e0b-8476-48a0bea6c265	2	4
1bbfe6f2-ad19-4d29-895b-973f5a91c707	1	2
1d91f9c7-67ba-4606-9f0a-01ec6fc08262	3	8
1eb37b28-fac2-477a-88b3-e04291a07926	4	3
2127b79b-3f38-4aed-89cb-7c4fce71b118	1	2
289790a5-77bd-49a9-a1ec-478a8ecacd7f	0	1
2c9c50ff-01d9-4703-931b-04119178706f	2	2
2ea2294d-fab9-43ae-a222-370487495b06	2	2
304c3e10-583c-421d-ab01-15c937d5014a	3	5
32d8c373-b5c8-420b-9808-8812b5501649	0	4
35553150-e4ef-4539-b220-259f2d634bd7	2	3
36962459-e81f-4b8c-a08d-df60ef3283a3	1	3
39aee9fc-fa27-4b71-b9e8-43ff34bd3930	0	2
3e86e68b-d083-4450-b056-4cd0f8d4a084	0	3
41027c0b-85af-4c78-bba0-0da63cd75fa9	3	3
42a548f0-d86a-4273-8bda-be0fe6a53b20	3	3
43b675e0-22e0-42d6-a060-afc93e22ac95	1	1
44083f54-0953-48e3-a704-11ad0988ad2e	10	3
45d0ccb2-641f-4348-b3a8-61f4113cd85b	2	4
475bca00-9089-4f50-8638-4e5e8aca6dcd	0	1
48c33a30-557b-4ecf-8066-5b4b068b5e3a	0	1
4c5228b5-bf31-4abd-a47c-d088e16dba13	1	2
4d11d7da-1204-437e-87b1-e8337a67c9a8	0	3
4eac784b-084a-4106-9a76-2d9fbec57033	1	2
59938f45-3e57-43d6-af3b-bb4968249e5a	0	0
59c18694-8a43-41dd-a6f6-52a20bc8dd54	0	1
61973578-4c0d-4a3f-b9c4-f96ceab24629	1	3
61a48c69-4f7d-4dc6-aff7-88a6c33137df	2	2
61d941f1-87df-43af-8a29-b6809c809275	0	4
6218f366-d5d2-4289-a95e-eeedfae7523a	3	1
6947cd78-0a51-4949-8383-343f9122d953	0	1
6d936ef9-b5df-44d3-831f-528bf8ddc131	1	3
6f25ca85-4b4a-420f-b0cc-5a4f65a97da3	4	1
734a8251-9ecc-47f5-835f-846b67693ca6	0	3
73a91624-ae27-4ca7-a522-90e39fa2a064	2	2
783579bd-e29d-457c-8236-1a80b557600c	5	5
79914ce9-04d8-4b0d-9f16-2e528044966e	4	3
7a95af21-ca7c-4596-9c83-66d11ca0c417	1	2
7dd2dc62-0eb4-4d45-86f1-e9e9377181ca	3	3
7e4d570e-f26b-41fb-84c5-2a6f7d668bb5	0	0
8044a282-bc2c-47c6-8a85-53c3b5eeb08f	1	1
836ec5a5-e385-4236-83e7-2641ee35db7f	1	18
84ae4dd8-f661-46aa-9892-69742e2f3542	1	2
86874a67-aa86-45f1-be32-3b2722ebedec	3	3
8689b53c-8883-479c-85f6-d13b86272b5d	4	9
887616c5-06a7-4e83-948c-3546202349fb	3	2
8a9359de-b0ad-4a2d-a543-e3b982697db9	0	0
8bbe4006-be0a-4cd5-91f6-529100d4f06e	2	4
8c0a7dfa-6ec3-4262-b718-c3605722df37	0	1
8c850df7-d48e-4386-b3a5-cac5da865ea5	2	0
8e7fe8bb-6b3d-428f-a232-97e6042a0f39	1	3
90fd404b-f734-41ed-a601-0f30e43625fc	0	1
95785e54-e402-4f77-87ce-62ed290dc93b	1	1
982b58c4-02b3-4e7d-8af0-4b133d0c7e50	2	4
98f54445-b151-4aeb-b8cf-91d743ba066e	3	3
9ed8f0b9-d615-44c4-9ec9-e07ecd744922	2	1
a08ec059-7592-4698-bb45-25a9c3680c23	2	12
a1af7c42-47af-435c-bb51-b932a3cd7b91	0	3
a6d8467e-88e3-4ea5-8583-61c5ab9747ae	0	4
a9ec7d9e-b179-4782-a589-43c7d1642be9	0	1
ab8a55ed-ff47-4cad-ad91-52b9dc25aca7	1	1
acb9750e-7e17-4cef-bee1-5d710f9bf3a7	0	4
b1f2442f-a973-47b4-9891-f028f0d44adc	0	2
b33978c6-a855-4f9d-a0b0-d79453b9de41	2	5
b33b7c8f-0b0d-4009-88a7-48e9d9cae6cb	0	2
bb02202f-d140-4bec-95ce-5c2b117a2167	3	3
bc9f105f-6d99-44ac-9871-67defd5e85cd	3	4
beafb7c6-ef39-478e-aa47-0f1ad39f95a3	0	1
c08f65a0-bf4c-462e-9d07-ad56b3adcac8	1	3
c14b2c74-447b-4526-a6e9-415d2728c7ca	2	0
c6a28615-1b92-4085-956e-eeedb2573c03	3	7
caf2e99d-8f1f-4043-b567-c3fe28dc33ac	2	1
cd0c3b1f-c73a-4991-8724-4e74381900cb	2	5
d0f4dd92-a63b-4766-8889-5327fca1bd91	1	4
d1875ee6-6677-4117-a7a8-930ab5cde775	5	4
d277e679-9fdd-44cd-9f2c-f9927e44d721	0	5
