TYPE	NHEJ	MMEJ
08b5d0e4-4661-460e-a9f7-f2e687414711	2	1
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	7	9
108749d2-5c62-4ef1-92df-aec6941ba53b	6	6
12f1ae2f-2666-45be-9742-f502d212373d	2	4
13c62975-9f5e-4d40-a461-dceab08a31ec	2	2
1ac15380-04a2-42dd-8ade-28556a570e80	5	5
1cd0acf2-3116-4dfa-a063-0a435b9f6da3	3	4
1d4a091d-fe65-49c0-8810-5a95243b108a	8	9
1daefc49-5248-4948-87ce-0ec19a248ef9	17	12
20e02396-e676-412d-9724-44a428919cdb	1	5
22d67778-61fc-4f15-95b8-7e7c6cc7112b	6	5
25103371-28ac-4f43-b0e2-2d376d0dcb84	15	40
2790b964-63e3-49aa-bf8c-9a00d3448c25	14	24
28839c75-90a8-493f-b658-8c63e0ebd324	9	22
2e76891c-b620-4cc0-9315-6f1217b09b1e	6	3
30600994-c1ec-44c9-a620-3f6c617eb928	3	10
3433b1f3-59d1-4ac2-9bbf-e0c4042b4ddc	2	4
351db483-a70e-496d-b70a-7449875121ee	5	4
35a74e53-16ff-4764-8397-6a9b02dfe733	2	2
39c476fd-273b-4136-874c-53352f1be008	4	15
51893d3f-e7f3-43f9-9fd0-c0f25ae96804	8	6
524bbd14-1e1f-479b-9a71-d27fce32d8bc	3	3
561fd34c-7c7d-4df0-bbfc-3d31147ca562	7	9
58d3e932-b4a3-4cac-a6ac-73160e354a15	1	5
5912d4b3-2d5d-4b98-b967-1b4ff177097a	1	0
5c3def3a-b515-41f6-8157-681b963534e7	47	46
60413de1-6cd2-4f74-8180-3bdd394d6d16	4	14
63762458-902a-4329-a823-703b54cb5f9d	17	18
681e2301-2057-40e4-ab63-934775d63faa	5	9
6d4a548a-7e30-4b6b-9a13-72827eed439c	5	6
72108583-5320-46ec-945f-5ff173d7dc15	7	6
76a0d9c9-5e69-44e8-9ed2-6d2e387803fc	11	11
7ba70717-d65e-4a45-af79-60a976770526	5	3
7edc42d3-d08e-4360-a3e1-aeb57cfc6640	1	4
7f031d71-3cb7-4744-86bd-a3beecfe166e	0	1
897ba508-d74b-46bf-8554-1210a66a36d1	5	11
8ca665f8-fe78-48bf-8c0f-c606d92885d4	15	32
98e8f23c-5970-4fce-9551-4b11a772fe1b	19	27
9e0009d1-c993-4247-9706-88ee84591dec	1	2
9fc5b5c7-3973-42b4-8710-454de0cb5b50	13	31
a6e24c2a-26b9-409c-bbcd-a8fcdd1e437c	2	3
a84915de-6562-4836-86f9-f2a05598296e	19	12
b35d9a68-29f4-49ab-b83e-b5151679e3af	3	8
b3befa40-8f44-4eb6-ada0-ec395f460656	1	8
bcefbf6a-80ff-4825-9d3a-492e2dceb35d	13	16
bcf76f1a-7109-422d-94c9-5e8364895fa0	4	7
c95a2b1b-726c-4608-9fff-d57b6f1aa75a	3	3
ca004926-f3ac-4824-8ed5-d84e62efdfae	2	3
ca8fa9f5-3190-440d-9879-22e33d05ca6c	9	12
d2620dab-4319-499a-b8f1-9575aaf8f4f3	3	3
deb9fbb6-656b-41ce-8299-554efc2379bd	39	101
e04bcdff-3206-4c25-bae9-09f0222b074a	1	4
e2b2357c-da6f-4ca3-9c07-a22f0423e8fe	6	7
ead1bc2e-42c3-46d9-8f6f-8cb16ba9d2c3	0	1
eb9a8f12-6451-43cc-95b3-2e86cf704c96	0	3
eeddf701-93f9-4f10-85cb-9dce1760bae8	2	4
f07b9192-c86f-4ee4-a3b5-feb9c5098bf4	8	10
f24688a9-7952-49d8-ba80-2bbad472379c	5	15
f81693ba-09ee-4201-a389-0ceeda8a4636	8	5
fc009c3d-66fc-4b9c-ae43-014607e3723a	5	8
