TYPE	NHEJ	MMEJ
04aa6b77-8074-480c-872e-a1a47afa5314	5	9
04c09376-8756-41d9-bbca-f464170a8cfb	7	4
10bb1a92-901e-4a14-80f4-5e88f997754b	9	12
15daadb0-6b24-4248-9225-470dc08f1552	4	2
22edd867-dcd6-42b5-92bb-025ceb84b106	7	9
2399ab13-abfa-480e-9fda-7947edc420be	11	8
3f2ecbcd-5c9e-4d57-8aa5-962e2e86a83c	3	4
3f98d326-5676-4257-9af8-0a5f5d3c2527	2	1
41a7b031-d928-4a1f-891b-82fb3f6d548f	8	20
450e8eba-a3a9-4dcb-b423-e33dfcd5c34e	4	7
507620ef-f0fc-4ac3-a7c0-ea2e36c40f77	1	1
5310f698-d31a-4628-84b4-dc9ac29722a5	2	4
54a77010-2f16-4da9-8ca0-746a51801a00	11	13
64dd81e1-35fa-4579-8a4c-f7486adbb949	3	7
6507e084-c038-4ba6-a431-fb9a53190d5f	13	17
66d312fc-809d-428b-98e3-a29d211db35c	0	3
6920fd0a-82bb-43a4-bc78-c29c42961148	11	16
6c884037-49f9-41c3-b0e5-9cbcd545aeb7	10	16
75ba6722-1148-4a52-a9ed-68d890238205	11	13
88f2c496-3eb4-4c03-b3a5-8d5a55803aaf	10	12
8d5ffe62-6dd9-4764-b0b7-5e3010eefe6d	0	4
8ea666b7-2b6e-4df8-9a9d-b8265b9749b4	3	4
978ae91e-6ebe-4efa-97ff-cfad511ae7b3	6	5
a0583407-712d-46f3-8c4e-4eeaa0149087	5	3
affa4ef4-02ec-40f1-b6a2-739f8bf2afa9	3	1
b07bad52-d44c-4b27-900a-960985bfadec	19	38
c21a5d55-9790-429f-a4e6-420293c07b53	10	7
d053f88f-09e6-472e-a691-bb293c461399	4	6
d056645f-4dd3-49f3-b0a4-2293e2b4d82c	4	4
d432e99a-67fb-4609-b90f-99438eee7cae	2	3
e2774050-1257-4c29-b201-d79ce70fe17e	19	32
fa4d35e3-fc38-4e26-a9e0-521a648acec1	5	2
fc249113-83d4-4abe-8c80-a4f7305dcd91	8	8
fe8c62a6-c113-46e8-ab91-fdb90bb6a59f	1	4
