ID	PCR_type	guide	file
E2286_ID1_RPE1_tracr_R1_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID1_RPE1_tracr_R1_T1.fastq.gz
E2286_ID10_RPE1_LBR2_R3_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID10_RPE1_LBR2_R3_T1.fastq.gz
E2286_ID11_RPE1_ATMi_R3_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID11_RPE1_ATMi_R3_T1.fastq.gz
E2286_ID12_RPE1_DNAPKi_R3_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID12_RPE1_DNAPKi_R3_T1.fastq.gz
E2286_ID13_RPEPro_tracr_R1_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID13_RPEPro_tracr_R1_T1.fastq.gz
E2286_ID13_RPEPro_tracr_R1_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID13_RPEPro_tracr_R1_T2.fastq.gz
E2286_ID14_RPEPro_LBR2_R1_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID14_RPEPro_LBR2_R1_T1.fastq.gz
E2286_ID14_RPEPro_LBR2_R1_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID14_RPEPro_LBR2_R1_T2.fastq.gz
E2286_ID15_RPEPro_ATMi_R1_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID15_RPEPro_ATMi_R1_T1.fastq.gz
E2286_ID15_RPEPro_ATMi_R1_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID15_RPEPro_ATMi_R1_T2.fastq.gz
E2286_ID16_RPEPro_DNAPKi_R1_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID16_RPEPro_DNAPKi_R1_T1.fastq.gz
E2286_ID16_RPEPro_DNAPKi_R1_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID16_RPEPro_DNAPKi_R1_T2.fastq.gz
E2286_ID17_RPEPro_tracr_R2_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID17_RPEPro_tracr_R2_T1.fastq.gz
E2286_ID17_RPEPro_tracr_R2_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID17_RPEPro_tracr_R2_T2.fastq.gz
E2286_ID18_RPEPro_LBR2_R2_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID18_RPEPro_LBR2_R2_T1.fastq.gz
E2286_ID18_RPEPro_LBR2_R2_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID18_RPEPro_LBR2_R2_T2.fastq.gz
E2286_ID19_RPEPro_ATMi_R2_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID19_RPEPro_ATMi_R2_T1.fastq.gz
E2286_ID19_RPEPro_ATMi_R2_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID19_RPEPro_ATMi_R2_T2.fastq.gz
E2286_ID2_RPE1_LBR2_R1_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID2_RPE1_LBR2_R1_T1.fastq.gz
E2286_ID20_RPEPro_DNAPKi_R2_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID20_RPEPro_DNAPKi_R2_T1.fastq.gz
E2286_ID20_RPEPro_DNAPKi_R2_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID20_RPEPro_DNAPKi_R2_T2.fastq.gz
E2286_ID21_RPEPro_tracr_R3_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID21_RPEPro_tracr_R3_T1.fastq.gz
E2286_ID21_RPEPro_tracr_R3_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID21_RPEPro_tracr_R3_T2.fastq.gz
E2286_ID22_RPEPro_LBR2_R3_T1	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID22_RPEPro_LBR2_R3_T1.fastq.gz
E2286_ID22_RPEPro_LBR2_R3_T2	indelPCR	LBR2_RPE1	/DATA/usr/v.franceschini/Workspaces/2023_07_XABI_INDEXES/VF230713_MERGED_1ST_AND_2ND_ROUNDS/E2286_ID22_RPEPro_LBR2_R3_T2.fastq.gz
